place#player#country#score#to par
1#tom lehman#united states#67 + 70 + 68 = 205#- 5
t2#ernie els#south africa#71 + 67 + 69 = 207#- 3
t2#jeff maggert#united states#73 + 66 + 68 = 207#- 3
4#colin montgomerie#scotland#65 + 76 + 67 = 208#- 2
t5#jay haas#united states#73 + 69 + 68 = 210#e
t5#david ogrin#united states#70 + 69 + 71 = 210#e
t5#tommy tolles#united states#74 + 67 + 69 = 210#e
t8#billy andrade#united states#75 + 67 + 69 = 211#+ 1
t8#olin browne#united states#71 + 71 + 69 = 211#+ 1
t8#jim furyk#united states#74 + 68 + 69 = 211#+ 1
t8#scott hoch#united states#71 + 68 + 72 = 211#+ 1
