player#games played#field goals#three pointers#free throws#rebounds#assists#blocks#steals#points
nick anderson#36#262#24#99#285#72#32#57#647
kenny battle#36#218#9#151#174#64#13#89#596
lowell hamilton#36#219#0#50#204#24#31#21#488
kendall gill#24#143#38#46#70#91#6#51#370
stephen bardo#36#94#29#76#144#148#8#34#293
larry smith#36#66#3#40#73#157#5#28#175
pj bowman#29#28#22#9#28#26#1#7#87
ervin small#36#26#0#27#76#5#0#10#77
andy kaufmann#12#16#5#14#20#8#1#5#51
mike macdonald#23#7#0#1#10#1#0#1#15
brian o'connell#4#1#0#2#3#0#0#0#4
