place#player#country#score#to par#money
t1#nick faldo#england#71 + 72 + 66 + 69 = 278#- 10#playoff
t1#raymond floyd#united states#70 + 68 + 68 + 72 = 278#- 10#playoff
t3#john huston#united states#66 + 74 + 68 + 75 = 283#- 5#72500
t3#lanny wadkins#united states#72 + 73 + 70 + 68 = 283#- 5#72500
5#fred couples#united states#74 + 69 + 72 + 69 = 284#- 4#50000
6#jack nicklaus#united states#72 + 70 + 69 + 74 = 285#- 3#45000
t7#seve ballesteros#spain#74 + 73 + 68 + 71 = 286#- 2#35150
t7#bill britton#united states#68 + 74 + 71 + 73 = 286#- 2#35150
t7#bernhard langer#west germany#70 + 73 + 69 + 74 = 286#- 2#35150
t7#scott simpson#united states#74 + 71 + 68 + 73 = 286#- 2#35150
t7#curtis strange#united states#70 + 73 + 71 + 72 = 286#- 2#35150
t7#tom watson#united states#77 + 71 + 67 + 71 = 286#- 2#35150
