name#gp - gs#gain#loss#long#avg / g
charles scott#13 - 13#1208#34#56#90.3
keiland williams#13 - 0#444#27#25#32.1
richard murphy#13 - 0#202#16#12#14.3
jordan jefferson#7 - 2#211#77#20#19.1
andrew hatch#6 - 3#175#46#20#21.5
trindon holliday#13 - 0#131#17#39#8.8
stevan ridley#13 - 0#92#0#18#7.1
quinn johnson#13 - 10#30#2#5#2.2
josh jasper#13 - 0#7#0#7#0.5
brandon lafell#13 - 12#6#0#4#0.5
jared mitchell#12 - 0#0#4#0#0.3
team#7 - 0#0#18#0#2.6
jarrett lee#11 - 8#4#101#4#8.8
total#13#2510#342#56#166.8
opponents#13#1751#319#68#110.2
