series number#season number#episode title#premiere date#production code
14#1#field of dweebs#august 22 , 1999#205
15#2#premiere#august 29 , 1999#206
16#3#a tragedy in two parts#september 3 , 1999#201
17#4#popularity#september 10 , 1999#204
18#5#county fair#september 17 , 1999#207
19#6#things that fly#september 24 , 1999#203
20#7#hawk#october 1 , 1999#209
21#8#ghost dance#october 8 , 1999#202
22#9#bunk#october 15 , 1999#210
23#10#par for the course#october 22 , 1999#208
24#11#saving mr. dupree#november 5 , 1999#211
25#12#new york#november 12 , 1999#218
26#13#spirit#november 19 , 1999#212
27#14#what money can't buy#december 10 , 1999#213
28#15#on the reel#january 7 , 2000#217
29#16#grades#january 14 , 2000#215
30#17#date#january 17 , 2000#214
31#18#behind the scenes#january 28 , 2000#216
32#19#voices#february 11 , 2000#226
33#20#spreading wings#february 18 , 2000#219
34#21#eye of the beholder#march 3 , 2000#220
35#22#day trip#march 10 , 2000#221
36#23#something to prove#april 8 , 2000#224
37#24#pride#may 6 , 2000#223
38#25#bank robbery#may 27 , 2000#225
