res#record#opponent#method#event#round#time#location
win#17 - 11 - 1#nick gonzalez#submission (rear naked choke)#legacy fc 23#3#4:43#san antonio , texas , united states
win#16 - 11 - 1#rey trujillo#ko (head kick and punches)#legacy fc 21#3#0:24#houston , texas , united states
loss#15 - 11 - 1#cody mckenzie#decision (unanimous)#ufc 159#3#5:00#newark , new jersey , united states
loss#15 - 10 - 1#max holloway#decision (split)#ufc 155#3#5:00#las vegas , nevada , united states
loss#15 - 9 - 1#matt grice#decision (unanimous)#ufc on fx : johnson vs mccall#3#5:00#sunrise , florida , united states
loss#15 - 8 - 1#nam phan#decision (unanimous)#ufc 136#3#5:00#houston , texas , united states
loss#15 - 7 - 1#jung chan - sung#submission (twister)#ufc fight night : nogueira vs davis#2#4:59#seattle , washington , united states
won#15 - 6 - 1#nam phan#decision (split)#the ultimate fighter 12 finale#3#5:00#las vegas , nevada , united states
loss#14 - 6 - 1#mark hominick#decision (split)#wec 51#3#5:00#broomfield , colorado , united states
win#14 - 5 - 1#jung chan - sung#decision (split)#wec 48#3#5:00#sacramento , california , united states
draw#13 - 5 - 1#george roop#draw (split)#wec 47#3#5:00#columbus , ohio , united states
loss#13 - 5#manny gamburyan#decision (unanimous)#wec 44#3#5:00#las vegas , nevada , united states
win#13 - 4#jameel massouh#decision (split)#wec 42#3#5:00#las vegas , nevada , united states
loss#12 - 4#mike brown#submission (arm - triangle choke)#wec 39#1#1:57#corpus christi , texas , united states
win#12 - 3#jens pulver#tko (punches)#wec 36#1#1:12#hollywood , florida , united states
win#11 - 3#hiroyuki takaya#ko (punch)#wec 32#1#1:31#albuquerque , new mexico , united states
loss#10 - 3#cole miller#decision (unanimous)#ufc fight night : thomas vs florian#3#5:00#las vegas , nevada , united states
win#10 - 2#allen berube#submission (rear - naked choke)#the ultimate fighter 5 finale#1#4:22#las vegas , nevada , united states
loss#9 - 2#roger huerta#decision (unanimous)#ufc 69#3#5:00#houston , texas , united states
win#9 - 1#rocky johnson#submission (rear - naked choke)#rof 23: impact#1#4:58#castle rock , colorado , united states
win#8 - 1#justin james#submission (rear - naked choke)#rof 7: meltdown#1#2:28#denver , colorado , united states
win#7 - 1#steve horton#submission (armbar)#rof 4: warriors#1#0:33#denver , colorado , united states
win#6 - 1#víctor estrada#ko (head kick)#wec 1#2#0:54#lemoore , california , united states
win#5 - 1#jake hattan#submission (guillotine choke)#rof 2: trial by fire#2#1:46#denver , colorado , united states
win#4 - 1#shawn simpson#submission (triangle choke)#rof 2: trial by fire#1#0:32#denver , colorado , united states
win#3 - 1#brent medley#submission (triangle choke)#unified shoot wrestling federation 18#1#3:59#amarillo , texas , united states
win#2 - 1#puma green#submission (armbar)#ring of fire 1#1#2:15#denver , colorado , united states
loss#1 - 1#brent medley#decision#unified shoot wrestling federation 15#1#20:00#dumas , texas , united states
win#1 - 0#chris cantrell#submission (armbar)#unified shoot wrestling federation 15#1#1:28#dumas , texas , united states
