poll source#sample size#margin of error#date#democrat#republican
quinnipiac#1697#2.4#mar 19 - 24 , 2008#hillary clinton#john mccain
quinnipiac#1697#2.4#mar 19 - 24 , 2008#barack obama#john mccain
rasmussen reports#500#4.5#march 11 , 2008#barack obama#john mccain
rasmussen reports#500#4.5#march 11 , 2008#hillary clinton#john mccain
rasmussen reports#500#4.5#november 7 , 2007#hillary clinton#rudy giuliani
rasmussen reports#500#4.5#november 7 , 2007#hillary clinton#john mccain
rasmussen reports#500#4.5#november 7 , 2007#hillary clinton#mitt romney
rasmussen reports#500#4.5#november 7 , 2007#hillary clinton#fred thompson
quinnipiac#1029#3.1#nov 1 - 5 , 2007#hillary clinton#rudy giuliani
quinnipiac#1029#3.1#nov 1 - 5 , 2007#hillary clinton#john mccain
quinnipiac#1029#3.1#nov 1 - 5 , 2007#hillary clinton#mitt romney
quinnipiac#1029#3.1#nov 1 - 5 , 2007#hillary clinton#fred thompson
quinnipiac#1029#3.1#nov 1 - 5 , 2007#john edwards#rudy giuliani
quinnipiac#1029#3.1#nov 1 - 5 , 2007#barack obama#rudy giuliani
quinnipiac#1391#2.6#oct 9 - 15 , 2007#hillary clinton#rudy giuliani
quinnipiac#1427#2.6#may 2 - 7 , 2007#hillary clinton#rudy giuliani
quinnipiac#1427#2.6#may 2 - 7 , 2007#hillary clinton#john mccain
quinnipiac#1427#2.6#may 2 - 7 , 2007#hillary clinton#fred thompson
quinnipiac#1427#2.6#may 2 - 7 , 2007#barack obama#rudy giuliani
quinnipiac#1427#2.6#may 2 - 7 , 2007#barack obama#john mccain
quinnipiac#1427#2.6#may 2 - 7 , 2007#barack obama#fred thompson
quinnipiac#1087#3#feb 9 - 12 , 2007#hillary clinton#rudy giuliani
quinnipiac#1087#3#feb 9 - 12 , 2007#hillary clinton#john mccain
quinnipiac#1087#3#feb 9 - 12 , 2007#hillary clinton#mitt romney
quinnipiac#1087#3#feb 9 - 12 , 2007#chris dodd#john mccain
quinnipiac#1087#3#feb 9 - 12 , 2007#john edwards#john mccain
quinnipiac#1087#3#feb 9 - 12 , 2007#barack obama#john mccain
