res#record#opponent#method#event#round#time#location
win#34 - 3 - 2#ilir latifi#decision (unanimous)#ufc on fuel tv : mousasi vs latifi#3#5:00#stockholm , sweden
win#33 - 3 - 2#mike kyle#submission (rear - naked choke)#strikeforce : marquardt vs saffiedine#1#4:09#oklahoma city , oklahoma , united states
win#32 - 3 - 2#ovince st preux#decision (unanimous)#strikeforce : melendez vs masvidal#3#5:00#san diego , california , united states
win#31 - 3 - 2#hiroshi izumi#tko (punches)#dream : japan gp final#1#3:29#tokyo , japan
draw#30 - 3 - 2#keith jardine#draw (majority)#strikeforce : diaz vs daley#3#5:00#san diego , california , united states
win#30 - 3 - 1#tatsuya mizuno#submission (rear - naked choke)#dream 16#1#6:10#nagoya , japan
win#29 - 3 - 1#jake o'brien#submission (guillotine choke)#dream 15#1#0:31#saitama , japan
loss#28 - 3 - 1#muhammed lawal#decision (unanimous)#strikeforce : nashville#5#5:00#nashville , tennessee , united states
win#28 - 2 - 1#gary goodridge#tko (punches)#dynamite!! 2009#1#1:34#saitama , saitama , japan
win#27 - 2 - 1#rameau thierry sokoudjou#tko (punches)#strikeforce : fedor vs rogers#2#3:43#hoffman estates , illinois , united states
win#26 - 2 - 1#renato sobral#ko (punches)#strikeforce : carano vs cyborg#1#1:00#san jose , california , united states
win#25 - 2 - 1#mark hunt#submission (kimura)#dream 9#1#1:19#yokohama , japan
win#24 - 2 - 1#ronaldo souza#ko (upkick)#dream 6#1#2:15#saitama , japan
win#23 - 2 - 1#melvin manhoef#submission (triangle choke)#dream 6#1#1:28#saitama , japan
win#22 - 2 - 1#yoon dong - sik#decision (unanimous)#dream 4#2#5:00#yokohama , japan
win#21 - 2 - 1#denis kang#submission (triangle choke)#dream 2#1#3:10#saitama , japan
win#20 - 2 - 1#steve mensing#tko (punches)#m - 1 mixfight#1#2:44#landsmeer , netherlands
win#19 - 2 - 1#evangelista santos#tko (punches)#hcf : destiny#1#3:42#calgary , alberta , canada
win#18 - 2 - 1#damir mirenic#tko (punches)#hcf : title wave#1#4:46#calgary , alberta , canada
win#17 - 2 - 1#kyacey uscola#tko (punches)#bodog fight#1#4:56#vancouver , british columbia , canada
win#16 - 2 - 1#alexander kokoev#decision (unanimous)#m - 1 mfc : battles#3#5:00#saint petersburg , russia
win#15 - 2 - 1#gregory bouchelaghem#submission (punches)#cwfc : enter#1#2:20#nottingham , united kingdom
win#14 - 2 - 1#hector lombard#decision (unanimous)#pride bushido 13#2#5:00#yokohama , japan
loss#13 - 2 - 1#akihiro gono#submission (armbar)#pride bushido 12#2#4:24#nagoya , japan
win#13 - 1 - 1#makoto takimoto#tko (broken eye socket)#pride bushido 11#1#5:34#saitama , japan
win#12 - 1 - 1#hidetada irie#tko (corner stoppage)#deep : 24 impact#2#1:29#tokyo , japan
win#11 - 1 - 1#sanjin kadunc#tko (punches)#future battle#1#0:35#bergen op zoom , netherlands
win#10 - 1 - 1#andre fyeet#tko (punches)#2h2h : mixed fight#1#0:40#landsmeer , netherlands
win#9 - 1 - 1#tsuyoshi kurihara#ko (knee)#deep : 22 impact#1#0:10#tokyo , japan
win#8 - 1 - 1#stefan klever#tko (punches)#europe : rotterdam rumble#1#3:39#rotterdam , netherlands
win#7 - 1 - 1#chico martinez#submission (rear - naked choke)#je : holland vs russia#1#4:39#landsmeer , netherlands
win#6 - 1 - 1#brady donnelly#ko (punch)#rings : bushido ireland#1#1:02#dublin , ireland
loss#5 - 1 - 1#petras markevičius#submission (armbar)#fight festival 13#2#1:49#helsinki , finland
win#5 - 0 - 1#erik oganov#submission (rear - naked choke)#m - 1 mfc : fight night#1#2:16#saint petersburg , russia
win#4 - 0 - 1#rody trost#tko (punches)#ima : mix fight#1#3:18#landsmeer , netherlands
win#3 - 0 - 1#niko puhakka#submission (rear - naked choke)#fight festival 11#2#2:17#helsinki , finland
draw#2 - 0 - 1#gilson ferreira#draw#fight gala#2#5:00#zaandam , netherlands
win#2 - 0#xander nel#tko (punches)#ima : mixfight#1#1:05#badhoevedorp , netherlands
win#1 - 0#daniel spek#tko (punches)#2h2h : 1st open team#1#3:40#amsterdam , netherlands
