year#games played#games won#games drawn#games lost#points for#points against#points difference#bonus points#table points
1996#4#4#0#0#119#60#+ 59#1#17
1997#4#4#0#0#159#109#+ 50#2#18
1998#4#4#0#0#80#54#+ 26#1#17
1999#4#3#0#1#103#61#+ 42#0#12
2000#4#3#0#1#104#86#+ 18#2#14
2001#4#2#1#1#81#75#+ 6#1#11
2002#4#3#0#1#97#65#+ 32#3#15
2003#4#4#0#0#142#65#+ 77#2#18
2004#4#2#0#2#110#98#+ 12#3#11
2005#4#3#0#1#111#86#+ 25#3#15
2006#6#5#0#1#179#112#+ 67#3#23
2007#4#3#0#1#100#59#+ 41#1#13
2008#6#4#0#2#152#106#+ 46#3#19
2009#6#5#0#1#158#130#+ 28#1#21
2010#6#6#0#0#184#111#+ 73#3#27
2011#4#3#0#1#92#79#+ 13#1#13
2012#6#6#0#0#177#66#+ 111#2#26
2013#6#6#0#0#202#115#+ 87#4#28
