game#date#opponent#score#location attendance#record
28#january 3#new jersey nets#w 95 - 85#continental airlines arena 14310#17 - 11
game#date#opponent#score#location attendance#record
29#january 4#new york knicks#w 88 - 71#omni coliseum 16378#18 - 11
30#january 7#phoenix suns#w 105 - 103 (ot)#omni coliseum#19 - 11
31#january 9#orlando magic#w 97 - 92 (ot)#orlando arena 17248#20 - 11
32#january 11#san antonio spurs#w 87 - 82 (ot)#omni coliseum 15877#21 - 11
33#january 13#cleveland cavaliers#w 93 - 79#gund arena 14565#22 - 11
34#january 14#minnesota timberwolves#w 95 - 93#omni coliseum 14032#23 - 11
35#january 16#orlando magic#w 78 - 67#omni coliseum 16378#24 - 11
36#january 18#milwaukee bucks#w 94 - 71#omni coliseum 16378#25 - 11
37#january 20#charlotte hornets#w 106 - 97#omni coliseum 16378#26 - 11
38#january 21#miami heat#l 91 - 94#miami arena 14853#26 - 12
39#january 24#washington bullets#w 117 - 105 (ot)#omni coliseum 15325#27 - 12
40#january 25#boston celtics#w 95 - 90#omni coliseum 16378#28 - 12
41#january 28#los angeles clippers#w 112 - 96#los angeles memorial sports arena#29 - 12
42#january 30#utah jazz#l 96 - 102#delta center 19911#29 - 13
43#january 31#vancouver grizzlies#w 87 - 76#general motors place 15205#30 - 13
