game#date#team#score#high points#high rebounds#high assists#location attendance#record
3#november 3#minnesota#w 128 - 86 (ot)#vince carter (20)#dwight howard (16)#jameer nelson (9)#amway center 18846#2 - 1
4#november 5#new jersey#w 105 - 90 (ot)#dwight howard (30)#dwight howard (16)#jameer nelson (6)#amway center 18846#3 - 1
5#november 6#charlotte#w 91 - 88 (ot)#dwight howard , rashard lewis (22)#dwight howard (8)#chris duhon (9)#time warner cable arena 18136#4 - 1
6#november 8#atlanta#w 93 - 89 (ot)#dwight howard (27)#dwight howard (11)#chris duhon (4)#amway center 18846#5 - 1
7#november 10#utah#l 94 - 104 (ot)#vince carter (20)#marcin gortat (10)#jameer nelson (7)#amway center 18846#5 - 2
8#november 12#toronto#l 106 - 110 (ot)#dwight howard (25)#dwight howard (8)#jameer nelson (8)#amway center 18846#5 - 3
9#november 13#new jersey#w 91 - 90 (ot)#dwight howard (16)#dwight howard (10)#chris duhon , jameer nelson (4)#prudential center 15086#6 - 3
10#november 15#memphis#w 89 - 72 (ot)#vince carter (19)#dwight howard (14)#rashard lewis , jameer nelson (4)#amway center 18846#7 - 3
11#november 18#phoenix#w 105 - 89 (ot)#dwight howard (20)#dwight howard (12)#jameer nelson (12)#amway center 18846#8 - 3
12#november 20#indiana#w 90 - 86 (ot)#dwight howard (25)#dwight howard (12)#jameer nelson (9)#conseco fieldhouse 14583#9 - 3
13#november 22#san antonio#l 97 - 106 (ot)#dwight howard (26)#dwight howard (18)#jameer nelson (5)#at&t center 17627#9 - 4
14#november 24#miami#w 104 - 95 (ot)#dwight howard (24)#dwight howard (18)#jameer nelson (14)#amway center 18936#10 - 4
15#november 26#cleveland#w 111 - 100 (ot)#dwight howard (23)#dwight howard (11)#chris duhon (9)#amway center 18846#11 - 4
16#november 27#washington#w 100 - 99 (ot)#dwight howard (32)#dwight howard (11)#jameer nelson (4)#verizon center 16435#12 - 4
