incident no#date#place#killed#injured
1#31 january#dantewada , chhattisgarh#0#0
2#4 march#jharkhand#1#0
2#5 march#andhra pradesh#1#0
2#15 march#bijapur , chhattisgarh#55#12
3#26 march#dantewada , chhattisgarh#0#0
4#6 april#bokaro , jharkhand#6#0
5#21 april#jamui , bihar#0#0
6#22 april#gaya , bihar#0#0
7#29 april#sheohar , bihar#0#0
8#9 may#khagaria , bihar#1#1
9#24 may#kanker , chhattisgarh#1#0
1#9 may#east godavari , andhra pradesh#0#1
1#9 may#munger , bihar#2#1
1#1 may#giridih , jharkhand#2#6
1#4 june#bijapur , chhattisgarh#0#0
14#30 june#rohtas , bihar#13#8
15#1 july#east champaran , bihar#2#1
16#13 july#malkangiri , odisha#0#0
17#6 august#gumla , jharkhand#0#0
18#8 august#gadchiroli , maharashtra#0#3
19#19 august#saran , bihar#3#0
20#26 august#dantewada , chhattisgarh#4#7
21#29 august#dantewada , chhattisgarh#12#0
22#30 september#gaya , bihar#0#0
23#9 october#dantewada , chhattisgarh#1#0
24#14 october#gadchiroli , maharashtra#2#0
25#20 october#bijapur , chhattisgarh#0#0
26#21 october#gadchiroli , maharashtra#2#5
27#26 october#narayanpur , chhattisgarh#0#0
28#29 october#bijapur , chhattisgarh#5#3
30#2 november#bijapur , chhattisgarh#16#5
31#4 november#gaya , bihar#0#0
32#7 november#simdega , jharkhand#1#0
33#19 november#bijapur , chhattisgarh#2#0
34#21 november#kanker , chhattisgarh#1#0
35#23 november#bastar , chhattisgarh#0#0
36#2 december#dantewada , chhattisgarh#0#0
37#10 december#vaishali , bihar#4#0
38#17 december#gaya , bihar#0#11
39#18 december#bastar , chhattisgarh#0#0
40#18 december#bijapur , chhattisgarh#0#0
41#23 december#dantewada , chhattisgarh#0#0
42#28 december#bijapur , chhattisgarh#0#0
43#31 december#giridih , jharkhand#0#0
total#total#total#64#36
