player#test career#tests#catches#stumpings#total dismissals
mahes goonatilleke#1982 - 82#5#10#3#15
guy de alwis#1983 - 88#11#21#1#23
amal silva#1983 - 88#9#33#1#34
asanka gurusinha#1985 - 96#41#2#0#2
brendon kuruppu#1987 - 91#4#1#0#1
gamini wickremasinghe#1989 - 92#3#9#1#10
hashan tillakaratne#1989 - 2004#83#33#2#35
romesh kaluwitharana#1992 - 2004#49#93#26#119
ashley de silva#1993 - 93#3#4#1#5
pubudu dassanayake#1993 - 94#11#19#5#24
chamara dunusinghe#1995 - 95#5#13#2#15
lanka de silva#1997 - 97#3#1#0#1
prasanna jayawardene#2000 - 2007#12#26#6#32
kumar sangakkara#2000 - 2007#67#127#20#147
