name#position#party#took office#up for reelection
phil mendelson#chairman#democratic#2012#2014
david grosso#- large#independent#2013#2016
david catania#- large#independent#1997#2014
anita bonds#- large#democratic#2012#2014
vincent orange#- large#democratic#2011#2016
jim graham#ward 1#democratic#1999#2014
jack evans#ward 2#democratic#1991#2016
mary cheh#ward 3#democratic#2007#2014
muriel bowser#ward 4#democratic#2007#2016
kenyan mcduffie#ward 5#democratic#2012#2014
tommy wells#ward 6#democratic#2007#2014
yvette alexander#ward 7#democratic#2007#2016
marion barry#ward 8#democratic#2005#2016
