games#gold#silver#bronze#total#rank
1951 new delhi#8#6#2#16#3
1954 manila#did not participate#did not participate#did not participate#did not participate#did not participate
1958 tokyo#7#14#11#32#4
1962 jakarta#did not participate#did not participate#did not participate#did not participate#did not participate
1966 bangkok#6#8#17#31#6
1970 bangkok#9#7#7#23#4
1974 tehran#36#28#17#81#2
1978 bangkok#did not participate#did not participate#did not participate#did not participate#did not participate
1982 new delhi#4#4#4#12#7
1986 seoul#6#6#10#22#4
1990 beijing#4#6#8#18#5
1994 hiroshima#9#9#8#26#6
1998 bangkok#10#11#13#34#7
2002 busan#8#14#14#36#10
2006 doha#11#15#22#48#6
2010 guangzhou#20#15#24#59#4
total#138#143#157#438#4
