rider#manufacturer#laps#time / retired#grid
valentino rossi#yamaha#27#45:43.156#1
sete gibernau#honda#27#+ 8.631#2
marco melandri#honda#27#+ 18.460#3
alex barros#honda#27#+ 26.938#8
shinya nakano#kawasaki#27#+ 27.659#5
troy bayliss#honda#27#+ 28.509#9
max biaggi#honda#27#+ 30.618#16
makoto tamada#honda#27#+ 36.887#7
colin edwards#yamaha#27#+ 37.608#15
carlos checa#ducati#27#+ 39.678#12
alex hofmann#kawasaki#27#+ 42.283#10
toni elías#yamaha#27#+ 55.457#13
loris capirossi#ducati#27#+ 1:02.372#6
john hopkins#suzuki#27#+ 1:19.346#11
roberto rolfo#ducati#27#+ 1:33.607#18
james ellison#blata#26#+ 1 lap#21
franco battaini#blata#26#+ 1 lap#19
rubén xaus#yamaha#24#+ 3 laps#17
nicky hayden#honda#20#retirement#4
kenny roberts , jr#suzuki#11#retirement#14
shane byrne#proton kr#2#retirement#20
