number#sanskrit#international alphabet of sanskrit transliteration#sanskrit gloss#western name#greek#gloss#tattva (element)#quality#ruling planet
1#मेष#meṣa#ram#aries#κριός#ram#tejas (fire)#cara (movable)#mars
2#वृषभ#vṛṣabha#bull#taurus#ταῦρος#bull#prithivi (earth)#sthira (fixed)#venus
3#मिथुन#mithuna#twins#gemini#δίδυμοι#twins#vayu (air)#dvisvabhava (dual)#mercury
4#कर्कट#karkaṭa#crab#cancer#καρκίνος#crab#jala (water)#cara (movable)#moon
5#सिंह#siṃha#lion#leo#λέων#lion#tejas (fire)#sthira (fixed)#sun
6#कन्या#kanyā#girl#virgo#παρθένος#virgin#prithivi (earth)#dvisvabhava (dual)#mercury
7#तुला#tulā#balance#libra#ζυγός#balance#vayu (air)#cara (movable)#venus
8#वृश्चिक#vṛścika#scorpion#scorpio#σκoρπιός#scorpion#jala (water)#sthira (fixed)#mars
9#धनुष#dhanus#bow#sagittarius#τοξότης#archer#tejas (fire)#dvisvabhava (dual)#jupiter
10#मकर#makara#sea - monster#capricorn#αἰγόκερως#goat - horned#prithivi (earth)#cara (movable)#saturn
11#कुम्भ#kumbha#pitcher#aquarius#ὑδροχόος#water - pourer#vayu (air)#sthira (fixed)#saturn
