song title#artist#decade#genre#single / pack name#release date#family friendly#additional rock band 3 features
claudette#roy orbison#1980s#pop - rock#roy orbison 01#jan.6 , 2009#yes#none
in dreams#roy orbison#1980s#pop - rock#roy orbison 01#jan.6 , 2009#yes#none
mean woman blues#roy orbison#1980s#pop - rock#roy orbison 01#jan.6 , 2009#yes#none
oh , pretty woman#roy orbison#1980s#pop - rock#roy orbison 01#jan.6 , 2009#yes#none
ooby dooby#roy orbison#1980s#pop - rock#roy orbison 01#jan.6 , 2009#yes#none
you got it#roy orbison#1980s#pop - rock#roy orbison 01#jan.6 , 2009#yes#none
are you gonna go my way#lenny kravitz#1990s#rock#lenny kravitz 01#jan.13 , 2009#yes#none
freedom train#lenny kravitz#1980s#rock#lenny kravitz 01#jan.13 , 2009#yes#none
let love rule#lenny kravitz#1980s#rock#lenny kravitz 01#jan.13 , 2009#yes#none
mr. cab driver#lenny kravitz#1980s#rock#lenny kravitz 01#jan.13 , 2009#yes#none
megasus#megasus#2000s#metal#single#jan.13 , 2009#no#none
entangled#honest bob and the factory - to - dealer incentives#2000s#indie rock#single#jan.13 , 2009#yes#none
space cowboy#steve miller band#1960s#classic rock#steve miller band 01#jan.20 , 2009#yes#none
take the money and run#steve miller band#1970s#classic rock#steve miller band 01#jan.20 , 2009#no#none
the joker#steve miller band#1970s#classic rock#steve miller band 01#jan.20 , 2009#no#none
i stand alone#godsmack#2000s#nu - metal#single#jan.20 , 2009#yes#none
feed the tree#belly#1990s#alternative#single#jan.20 , 2009#yes#none
wind me up#ghost hounds#2000s#rock#single#jan.20 , 2009#yes#none
typical#mutemath#2000s#alternative#single#jan.20 , 2009#yes#none
war zone#rob zombie#2000s#nu - metal#single#jan.20 , 2009#no#none
cold rain and snow#grateful dead#1960s#classic rock#grateful dead 02#jan.27 , 2009#yes#none
doin' that rag#grateful dead#1960s#classic rock#grateful dead 02#jan.27 , 2009#no#none
don't ease me in#grateful dead#1980s#classic rock#grateful dead 02#jan.27 , 2009#no#none
fire on the mountain#grateful dead#1970s#classic rock#grateful dead 02#jan.27 , 2009#no#none
hell in a bucket#grateful dead#1980s#classic rock#grateful dead 02#jan.27 , 2009#no#none
uncle john 's band#grateful dead#1970s#classic rock#grateful dead 02#jan.27 , 2009#yes#none
the boys are back in town (live)#thin lizzy#2000s#classic rock#thin lizzy 01#feb.3 , 2009#no#none
cowboy song (live)#thin lizzy#2000s#classic rock#thin lizzy 01#feb.3 , 2009#yes#none
jailbreak (live)#thin lizzy#2000s#classic rock#thin lizzy 01#feb.3 , 2009#no#none
precious#the pretenders#1980s#punk#single#feb.3 , 2009#no#none
hit me with your best shot#pat benatar#1980s#classic rock#single#feb.3 , 2009#yes#none
break my heart#nikko#2000s#pop - rock#single#feb.3 , 2009#yes#none
don't tell me#nikko#2000s#pop - rock#single#feb.3 , 2009#yes#none
creepin' up the backstairs#the fratellis#2000s#alternative#the fratellis 01#feb.10 , 2009#no#none
flathead#the fratellis#2000s#alternative#the fratellis 01#feb.10 , 2009#no#none
henrietta#the fratellis#2000s#alternative#the fratellis 01#feb.10 , 2009#no#none
more human than human#white zombie#1990s#metal#single#feb.17 , 2009#no#none
black sunshine#white zombie#1990s#metal#single#feb.17 , 2009#no#none
wasted again#turbonegro#2000s#punk#single#feb.17 , 2009#no#none
3 dimes down#drive - by truckers#2000s#country#alt - country 01#feb.24 , 2009#no#none
can't let go#lucinda williams#1990s#country#alt - country 01#feb.24 , 2009#no#none
people got a lotta nerve#neko case#2000s#country#alt - country 01#feb.24 , 2009#no#none
time bomb (live)#old 97 's#2000s#country#alt - country 01#feb.24 , 2009#no#none
satellite radio#steve earle#2000s#country#alt - country 01#feb.24 , 2009#yes#none
futures#jimmy eat world#2000s#pop - rock#jimmy eat world 01#feb.24 , 2009#yes#none
lucky denver mint#jimmy eat world#1990s#pop - rock#jimmy eat world 01#feb.24 , 2009#yes#none
sweetness#jimmy eat world#2000s#pop - rock#jimmy eat world 01#feb.24 , 2009#yes#none
new#no doubt#2000s#pop - rock#single#mar.3 , 2009#yes#none
love struck baby#stevie ray vaughan and double trouble#1980s#blues#texas flood#mar.3 , 2009#yes#none
pride and joy#stevie ray vaughan and double trouble#1980s#blues#texas flood#mar.3 , 2009#yes#pro guitar / bass
texas flood#stevie ray vaughan and double trouble#1980s#blues#texas flood#mar.3 , 2009#yes#none
tell me#stevie ray vaughan and double trouble#1980s#blues#texas flood#mar.3 , 2009#yes#none
testify#stevie ray vaughan and double trouble#1980s#blues#texas flood#mar.3 , 2009#yes#none
rude mood#stevie ray vaughan and double trouble#1980s#blues#texas flood#mar.3 , 2009#yes#none
mary had a little lamb#stevie ray vaughan and double trouble#1980s#blues#texas flood#mar.3 , 2009#yes#none
dirty pool#stevie ray vaughan and double trouble#1980s#blues#texas flood#mar.3 , 2009#yes#none
i'm cryin'#stevie ray vaughan and double trouble#1980s#blues#texas flood#mar.3 , 2009#yes#none
lenny#stevie ray vaughan and double trouble#1980s#blues#texas flood#mar.3 , 2009#yes#none
all i want#the offspring#1990s#punk#single#mar.10 , 2009#yes#none
the kids aren't alright#the offspring#1990s#punk#single#mar.10 , 2009#no#none
losing my religion#r.e.m#1990s#alternative#single#mar.10 , 2009#yes#none
the way that it shows#richard thompson#1990s#rock#single#mar.10 , 2009#yes#none
pick up the pieces#average white band#1970s#r&b / soul / funk#get the funk out 01#mar.17 , 2009#yes#none
shining star#earth , wind & fire#1970s#r&b / soul / funk#get the funk out 01#mar.17 , 2009#yes#none
thrash unreal#against me!#2000s#punk#single#mar.17 , 2009#no#none
all the things that go to make heaven and earth#the new pornographers#2000s#indie rock#single#mar.17 , 2009#no#none
use it#the new pornographers#2000s#indie rock#single#mar.17 , 2009#no#none
last resort#papa roach#2000s#alternative#single#mar.17 , 2009#no#none
lifeline#papa roach#2000s#alternative#single#mar.17 , 2009#yes#none
once#pearl jam#1990s#grunge#ten#mar.24 , 2009#no#none
even flow#pearl jam#1990s#grunge#ten#mar.24 , 2009#yes#backing vocals & pro guitar / bass
why go#pearl jam#1990s#grunge#ten#mar.24 , 2009#yes#backing vocals
black#pearl jam#1990s#grunge#ten#mar.24 , 2009#no#backing vocals
jeremy#pearl jam#1990s#grunge#ten#mar.24 , 2009#no#backing vocals
oceans#pearl jam#1990s#grunge#ten#mar.24 , 2009#yes#backing vocals
porch#pearl jam#1990s#grunge#ten#mar.24 , 2009#yes#none
garden#pearl jam#1990s#grunge#ten#mar.24 , 2009#yes#backing vocals
deep#pearl jam#1990s#grunge#ten#mar.24 , 2009#no#backing vocals
release#pearl jam#1990s#grunge#ten#mar.24 , 2009#yes#none
master / slave#pearl jam#1990s#grunge#ten#mar.24 , 2009#yes#none
don't stop believing#journey#1980s#classic rock#single#mar.31 , 2009#no#none
heartbreaker#pat benatar#1970s#classic rock#single#mar.31 , 2009#yes#none
geraldine#glasvegas#2000s#alternative#single#mar.31 , 2009#yes#none
c'mon c'mon#the von bondies#2000s#alternative#single#mar.31 , 2009#no#none
i can't keep my eyes off of you#spongebob squarepants#2000s#other#spongebob squarepants 01#mar.31 , 2009#yes#none
the best day ever#spongebob squarepants#2000s#other#spongebob squarepants 01#mar.31 , 2009#yes#none
where 's gary?#spongebob squarepants#2000s#other#spongebob squarepants 01#mar.31 , 2009#yes#none
new slang#the shins#2000s#indie rock#single#apr.7 , 2009#no#none
warriors of time#black tide#2000s#metal#single#apr.7 , 2009#no#none
waking the demon#bullet for my valentine#2000s#metal#single#apr.7 , 2009#no#none
beer for my horses#toby keith#2000s#country#toby keith 01#apr.7 , 2009#no#none
i love this bar#toby keith#2000s#country#toby keith 01#apr.7 , 2009#no#none
she 's a hottie#toby keith#2000s#country#toby keith 01#apr.7 , 2009#no#none
should've been a cowboy#toby keith#1990s#country#toby keith 01#apr.7 , 2009#yes#none
who 's your daddy?#toby keith#2000s#country#toby keith 01#apr.7 , 2009#yes#none
how do you like me now?!#toby keith#1990s#country#toby keith 01#apr.7 , 2009#yes#none
