season#games#lost#tied#points#goals for#goals against#standing
1969 - 70#72#15#14#100#327#195#1st , east
1970 - 71#72#31#14#68#215#239#2nd , east
1971 - 72#76#21#14#96#274#202#2nd , east
1972 - 73#76#18#15#101#316#191#1st , east
1973 - 74#76#27#12#86#263#223#3rd , north
1974 - 75#75#26#9#89#270#227#3rd , north
1975 - 76#76#20#8#104#326#209#1st , north
1976 - 77#80#22#6#110#308#225#1st , ahl
1977 - 78#81#28#16#90#304#250#2nd , north
1978 - 79#80#37#4#82#313#302#3rd , north
1979 - 80#79#29#7#93#331#271#2nd , north
1980 - 81#80#37#5#81#335#298#3rd , north
1981 - 82#80#35#10#80#330#313#3rd , north
1982 - 83#80#34#5#87#378#333#2nd , north
1983 - 84#80#37#11#75#277#288#4th , north
