election#leader#of candidates#of constituency votes#% of constituency vote
1958#nobusuke kishi#413#23840170#59.0%
1960#hayato ikeda#399#22950404#58.1%
1963#hayato ikeda#359#22972892#56.0%
1967#eisaku satō#342#22447838#48.9%
1969#eisaku satō#328#22381570#47.6%
1972#tanaka kakuei#339#24563199#46.9%
1976#takeo miki#320#23653626#41.8%
1979#masayoshi ōhira#322#24084130#44.59%
1980#masayoshi ōhira#310#28262442#47.88%
1983#yasuhiro nakasone#339#25982785#45.76%
1986#yasuhiro nakasone#322#29875501#49.42%
1990#toshiki kaifu#338#30315417#46.14%
1993#kiichi miyazawa#285#22999646#36.62%
1996#ryutaro hashimoto#355#21836096#38.63%
2000#yoshirō mori#337#24945806#40.97%
2003#junichiro koizumi#336#26089326#43.85%
2005#junichiro koizumi#346#32518389#47.80%
2009#tarō asō#326#27301982#38.68%
2012#shinzō abe#337#25643309#43.01%
