name#country#status#transfer window#transfer fee
roberto carlos#bra#contract ended#summer#free
helguera#esp#contract ended#summer#free
pavón#esp#contract ended#summer#free
beckham#eng#contract ended#summer#free
mejía#esp#contract ended#summer#free
miñambres#esp#retired#summer#free
cicinho#bra#transferred#summer#9 m
woodgate#eng#transferred#summer# 7 m
lópez#esp#transferred#summer#7 m
émerson#bra#transferred#summer#5 m
diogo#ury#transferred#summer#4.5 m
de la red#esp#transferred#summer#loan
bravo#esp#transferred#summer#2.3 m
javi garcía#esp#transferred#summer#undisclosed
rayco#esp#transferred#summer#undisclosed
miguel palencia#esp#transferred#summer#undisclosed
reyes#esp#loan ended#summer#-
cassano#ita#loaned out#summer#-
garcía#ury#loaned out#summer#-
gonzález#esp#loaned out#summer#-
agus#esp#loaned out#summer#-
granero#esp#loaned out#summer#-
gonzález#esp#loaned out#winter#-
