years covered#all bills sponsored#all amendments sponsored#all bills cosponsored#all amendments cosponsored#bills originally cosponsored#amendments originally cosponsored
2007 - 08#22#16#133#74#101#57
2005 - 06#75#68#152#42#113#36
2003 - 04#77#112#181#47#116#39
2001 - 02#54#178#121#55#97#53
1999 - 00#102#65#175#37#110#33
1997 - 98#74#150#147#59#79#50
1995 - 96#80#137#118#61#66#56
1993 - 94#53#91#201#89#98#82
1991 - 92#159#52#353#66#175#63
1989 - 90#39#24#247#86#150#81
1987 - 88#24#15#342#79#171#76
1985 - 86#12#10#335#0#117#0
1983 - 84#6#1#286#0#107#0
