name#goals#apps#avge#career
bobby campbell#121#274#0.44#1979 - 1983 , 1983 - 1986
frank o'rourke#88#192#0.46#1907 - 1914
dean windass#76#216#0.35#1999 - 2001 , 2003 - 2007
john hallows#74#164#0.45#1930 - 1936
joe cooke#68#271#0.25#1971 - 1979 , 1981 - 1984
gerry ingram#64#174#0.37#1971 - 1977
bobby ham#64#188#0.34#1967 - 1971 , 1973 - 1975
david mcniven#64#212#0.30#1978 - 1983
sean mccarthy#63#131#0.48#1990 - 1994
john hall#63#430#0.15#1962 - 1974
david jackson#61#250#0.24#1955 - 1961
bruce bannister#60#208#0.29#1965 - 1971
dicky bond#60#301#0.20#1909 - 1922
