rank#heat#lane#name#nationality#time
1#7#4#leisel jones#australia#1:05.64
2#7#3#yuliya yefimova#russia#1:06.08
3#5#6#mirna jukić#austria#1:07.06
4#5#4#rebecca soni#united states#1:07.44
5#7#1#suzaan van biljon#south africa#1:07.55
6#6#1#sun ye#china#1:07.81
7#6#4#tarnee white#australia#1:07.83
8#7#6#joline höstman#sweden#1:07.91
9#7#5#megan jendrick#united states#1:08.07
10#5#7#jillian tyler#canada#1:08.13
11#6#3#kate haywood#great britain#1:08.18
12#5#2#chen huijia#china#1:08.24
13#5#3#annamay pierse#canada#1:08.25
14#6#2#kirsty balfour#great britain#1:08.30
15#5#1#asami kitagawa#japan#1:08.36
16#7#8#elise matthysen#belgium#1:08.37
17#6#6#megumi taneda#japan#1:08.45
18#7#2#yelena bogomazova#russia#1:08.63
19#3#2#sara el bekri#morocco#1:08.66
20#6#5#sarah poewe#germany#1:08.69
21#6#7#hanna westrin#sweden#1:08.80
22#4#4#roberta panara#italy#1:08.90
23#4#5#jung seul - ki#south korea#1:09.26
24#6#8#yuliya pidlisna#ukraine#1:09.72
25#5#5#anna khlistunova#ukraine#1:09.95
26#4#2#diana gomes#portugal#1:10.02
27#4#3#inna kapishina#belarus#1:10.15
28#4#1#dilara buse günaydin#turkey#1:10.45
29#5#8#sophie de ronchi#france#1:10.46
30#4#6#angeliki exarchou#greece#1:10.47
31#3#6#adriana marmolejo#mexico#1:10.73
32#4#7#nicolette teo#singapore#1:10.76
33#3#3#smiljana marinović#croatia#1:10.94
34#2#4#yekaterina sadovnik#kazakhstan#1:11.14
35#4#8#jolijn van valkengoed#netherlands#1:11.26
36#7#7#sonja schöber#germany#1:11.36
37#3#4#liliana guiscardo#argentina#1:11.43
38#2#5#valeria silva#peru#1:11.64
39#3#8#tatiane sakemi#brazil#1:11.75
40#3#5#erla dogg haraldsdóttir#iceland#1:11.78
41#3#1#réka pecz#hungary#1:12.17
42#2#6#danielle beaubrun#saint lucia#1:12.85
43#3#7#nađa higl#serbia#1:13.19
44#2#3#mayumi raheem#sri lanka#1:15.33
45#2#2#nibal yamout#lebanon#1:16.17
46#2#7#oksana hatamkhanova#azerbaijan#1:20.22
47#1#5#asmahan farhat#libya#1:21.68
48#1#4#anna salnikova#georgia#1:21.70
49#1#3#mariam pauline keita#mali#1:24.26
