rank#movie#year#studio (s)#opening week nett gross
1#chennai express#2013#red chillies entertainment#156 , 70 , 00000
2#ek tha tiger#2012#yash raj films#133 , 22 , 00000
3#yeh jawaani hai deewani#2013#dharma productions#106 , 00 , 00000
4#bodyguard#2011#reliance entertainment#100 , 15 , 00000
5#dabangg 2#2012#arbaaz khan productions#99 , 00 , 00000
6#raone#2011#red chillies entertainment#91 , 27 , 00000
7#agneepath#2012#dharma productions#81 , 77 , 00000
8#dabangg#2010#arbaaz khan productions#80 , 87 , 00000
9#jab tak hai jaan#2012#yash raj films#78 , 00 , 00000
10#rowdy rathore#2012#utv motion pictures#77 , 00 , 00000
