res#record#opponent#method#event#round#time#location
win#18 - 8#scott catlin#submission (armbar)#bamma usa : bad beat 9#2#2:13#commerce , california , united states
loss#17 - 8#scott catlin#tko (punches)#bamma usa : bad beat 5#2#0:36#anaheim , california , united states
loss#17 - 7#paul taylor#ko (head kick and punches)#ufc 126#2#1:42#las vegas , nevada , united states
loss#17 - 6#joe lauzon#submission (armbar)#ufc 118#1#2:01#boston , massachusetts , united states
win#17 - 5#lenny lovato#tko (punches)#tachi palace fights 5#1#3:25#lemoore , california , united states
win#16 - 5#dominique robinson#submission (rear naked choke)#tachi palace fights 3#2#4:49#lemoore , california , united states
win#15 - 5#wander braga#submission (guillotine choke)#call to arms : called out fights#2#0:58#ontario , california , united states
win#14 - 5#adam lehman#submission (rear naked choke)#fight circuit mma : victorious#1#2:19#adelanto , california , united states
win#13 - 5#darren crisp#submission (guillotine choke)#pfc 13: validation#1#1:03#lemoore , california , united states
win#12 - 5#max son#submission (rear naked choke)#gladiator challenge : warriors#1#0:24#pauma valley , california , united states
loss#11 - 5#justin wilcox#decision#jg and tkt promotions : fighting 4 kidz#3#n / a#santa monica , california , united states
loss#11 - 4#akbarh arreola#submission (kimura)#mma xtreme 15#1#2:03#mexico city
win#11 - 3#george kassimatis#submission (guillotine choke)#ringside ticket#1#3:51#highland , california , united states
loss#10 - 3#melvin guillard#ko (punch to the body)#ufc 63#2#1:01#anaheim , california , united states
win#10 - 2#savant young#submission (armbar)#pf 1: the beginning#3#1:29#hollywood , california , united states
loss#9 - 2#hermes frança#ko (punches)#wec 19#1#0:36#lemoore , california , united states
win#9 - 1#sam wells#decision (unanimous)#wec 17#3#5:00#lemoore , california , united states
win#8 - 1#bobir hasanov#submission (armbar)#king of the cage#1#0:23#san jacinto , california , united states
win#7 - 1#jason maxwell#submission ( rear naked choke )#wec 14#1#3:28#lemoore , california , united states
win#6 - 1#olaf alfonso#submission (rear naked choke)#wec 12#1#3:05#lemoore , california , united states
win#5 - 1#steve ramerez#submission (triangle choke)#wec 11#1#1:24#lemoore , california , united states
win#4 - 1#cory reeves#tko (punches)#international fighting championships#1#2:40#lake tahoe , nevada , united states
win#3 - 1#carlos cordero#tko (punches)#wec 7#1#2:57#lemoore , california , united states
win#2 - 1#phat houng#submission (rear naked choke)#pit fighting championship#1#1:10#n / a
win#1 - 1#josh gardner#tko (punches)#gladiator challenge 14#1#1:41#porterville , california , united states
loss#0 - 1#sam wells#ko (punch)#wec 5#1#4:27#lemoore , california , united states
