name#height#weight#spike#2008 club
marcus popp#m#-#cm (in)#marmi lanza verona
simon tischer#m#-#cm (in)#iraklis
björn andrae#m#-#cm (in)#azs olsztyn
mark siebeck#m#-#cm (in)#halkbank ankara
marcus böhme#m#-#cm (in)#scc berlin
stefan hübner#m#-#cm (in)#sisley treviso
jochen schöps#m#-#cm (in)#iskra odintsovo
frank dehne#m#-#cm (in)#marmi lanza verona
christian pampel#m#-#cm (in)#gazprom - jugra surgut
ralph bergmann#m#-#cm (in)#moerser sc
robert kromm#m#-#cm (in)#sempre volley
thomas kröger#m#-#cm (in)#vfb friedrichshafen
