year#flagship station#play - by - play#color commentator (s)#studio host
2009 - 10#weei#sean grande#cedric maxwell#john ryder
2008 - 09#weei#sean grande#cedric maxwell#john ryder
2007 - 08#weei#sean grande#cedric maxwell#john ryder
2006 - 07#wrko#sean grande#cedric maxwell#jimmy myers and jimmy young
2005 - 06#wrko#sean grande#cedric maxwell#jimmy myers and jimmy young
2004 - 05#wwzn#sean grande#cedric maxwell#jimmy myers
2003 - 04#wwzn#sean grande#cedric maxwell#jimmy myers
2002 - 03#wwzn#sean grande#cedric maxwell#jimmy myers
2001 - 02#wwzn#sean grande#cedric maxwell#dave jageler & marty tirrell
2000 - 01#weei#howard david#cedric maxwell#ted sarandis
