club#played#won#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
club#played#won#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
treorchy rfc#22#21#0#1#742#223#101#20#14#0#98
llantwit fardre rfc#22#20#0#2#622#254#82#30#10#0#90
st peters rfc#22#13#1#8#486#366#66#37#7#4#65
llanishen rfc#22#11#1#10#443#321#47#34#4#8#58
tylorstown rfc#22#11#1#10#436#391#46#44#3#6#55
brecon rfc#22#10#0#12#372#414#46#49#6#7#53
penarth rfc#22#11#1#10#427#438#55#56#4#2#52
llandaff north rfc 1#22#9#1#12#455#547#63#70#7#2#41
fairwater rfc#22#8#1#13#273#382#33#50#1#6#41
aberdare rfc#22#6#0#16#437#553#54#74#5#5#34
nantymoel rfc#22#4#1#17#269#678#32#100#1#2#21
old illtydians rfc#22#4#1#17#189#584#20#81#0#1#19
