episode#title#directed by#written by#original air date#viewers (in millions)
1#pilot#michael dinner#vincent angell , william rotko#january 15 , 2009#2.45
2#two choices#michael dinner#william l rotko#january 22 , 2009#1.55
3#nadia#christine moore#vincent angell#january 29 , 2009#1.35
4#infected#john badham#ray hartung#february 5 , 2009#n / a
5#bitsy big - boy#michael w watkins#vincent angell#february 12 , 2009#n / a
6#hothead#sanford bookstaver#john romano#february 19 , 2009#n / a
7#capone#ken girotti#wendy west#february 26 , 2009#n / a
8#mercy#tom verica#mark goffman & william l rotko#march 5 , 2009#n / a
9#the walk in#jeremiah s chechik#mark goffman#march 19 , 2009#n / a
10#tilt#charles haid#william l rotko , keith schreier#march 26 , 2009#n / a
11#my brother 's keeper#lisa niemi#vincent angell & wendy west#april 9 , 2009#n / a
12#counterfeit#chris leitch#mark goffman & ray hartung#april 16 , 2009#n / a
