season#cars entered#winning driver#second driver#third driver#race report
1950#31#johnnie parsons#bill holland#mauri rose#report
1951#32#lee wallard#mike nazaruk#manny ayulo#report
1952#30#troy ruttman#jim rathmann#sam hanks#report
1953#32#bill vukovich#art cross#sam hanks#report
1954#34#bill vukovich#jimmy bryan#jack mcgrath#report
1955#35#bob sweikert#tony bettenhausen#jimmy davies#report
1956#32#pat flaherty#sam hanks#don freeland#report
1957#31#sam hanks#jim rathmann#jimmy bryan#report
1958#31#jimmy bryan#george amick#johnny boyd#report
1959#33#rodger ward#jim rathmann#johnny thomson#report
1960#33#jim rathmann#rodger ward#paul goldsmith#report
