team#outgoing manager#manner of departure#date of vacancy#replaced by#date of appointment#position in table
huracán#claudio ubeda#resigned#sep 14 , 2008#héctor martínez (interim)#sep 15 , 2008#20th (a)
estudiantes (lp)#roberto sensini#resigned#sep 17 , 2008#leonardo astrada#sep 20 , 2008#18th (a)
gimnasia y esgrima (lp)#guillermo sanguinetti#resigned#sep 29 , 2008#leonardo madelón#oct 2 , 2008#12th (a)
independiente#claudio borghi#resigned#oct 5 , 2008#miguel santoro#oct 6 , 2008#15th (a)
rosario central#pablo sánchez#sacked#oct 6 , 2008#gustavo alfaro#oct 10 , 2008#19th (a)
godoy cruz#daniel oldrá#resigned#oct 28 , 2008#diego cocca#oct 29 , 2008#18th (a)
huracán#héctor martínez (interim)#end of contract#nov 3 , 2008#ángel cappa#nov 4 , 2008#15th (a)
river plate#diego simeone#resigned#nov 9 , 2008#gabriel rodríguez (interim)#nov 10 , 2008#20th (a)
vélez sársfield#hugo tocalli#resigned#dec 3 , 2008#pedro larraquy (interim)#dec 4 , 2008#6th (a)
argentinos juniors#nestor gorosito#resigned#dec 14 , 2008#claudio vivas#dec 27 , 2008#11th (a)
vélez sársfield#pedro larraquy (interim)#end of contract#dec 15 , 2008#ricardo gareca#dec 16 , 2008#9th (a)
river plate#gabriel rodríguez (interim)#end of contract#dec 15 , 2008#nestor gorosito#dec 23 , 2008#20th (a)
racing#juan manuel llop#sacked#feb 21 , 2009#ricardo caruso lombardi#feb 24 , 2009#20th (c)
rosario central#gustavo alfaro#sacked#feb 28 , 2009#reinaldo merlo#mar 2 , 2009#18th (c)
gimnasia y esgrima (j)#omar labruna#resigned#mar 10 , 2009#héctor arzubialde#mar 11 , 2009#19th (c)
estudiantes (lp)#leonardo astrada#resigned#mar 11 , 2009#alejandro sabella#mar 15 , 2009#18th (c)
independiente#miguel santoro#resigned#mar 21 , 2009#américo gallego#mar 27 , 2009#8th (c)
banfield#jorge burruchaga#resigned#mar 22 , 2009#julio falcioni#mar 23 , 2009#9th (c)
san lorenzo#miguel ángel russo#resigned#apr 9 , 2009#diego simeone#apr 16 , 2009#10th (c)
rosario central#reinaldo merlo#resigned#apr 14 , 2009#miguel ángel russo#apr 16 , 2009#9th (c)
arsenal#daniel garnero#sacked#apr 25 , 2009#josé rizzo (interim)#apr 26 , 2009#16th (c)
arsenal#josé rizzo (interim)#end of contract#may 4 , 2009#jorge burruchaga#may 5 , 2009#18th (c)
argentinos juniors#claudio vivas#resigned#may 23 , 2009#claudio borghi#jun 2 , 2009#20th (c)
boca juniors#carlos ischia#resigned#jun 16 , 2009#abel alvez (interim)#jun 17 , 2009#15th (c)
