track name#location#length#seating#year opened#year acquired
auto club speedway#fontana , ca#-#92000#1997#1999
chicagoland speedway#joliet , il#-#75000#2001#2007
darlington raceway#darlington , sc#-#63000#1950#1982
daytona international speedway#daytona beach , fl#-#168000#1959#1959
homestead - miami speedway#homestead , fl#-#65000#1995#1999
kansas speedway#kansas city , ks#-#81687#2001#2001
martinsville speedway#ridgeway , va#-#65000#1947#2004
michigan international speedway#brooklyn , mi#-#137243#1968#1999
phoenix international raceway#avondale , az#-#76812#1964#1997
richmond international raceway#richmond , va#-#107097#1946#1999
route 66 raceway#joliet , il#miles (km) dragstrip#30000#1998#2007
talladega superspeedway#talladega , al#-#175000#1969#1969
