series#season#episode title#written by#directed by#us viewers (millions)#original air date
66#1#the butterfly effect (part 1)#sheila lawrence & henry alonso myers#john terlesky#5.01#october 16 , 2009
67#2#the butterfly effect (part 2)#sheila lawrence & henry alonso myers#victor nelli , jr#5.18#october 16 , 2009
68#3#blue on blue#abraham higginbotham#victor nelli , jr#4.55#october 23 , 2009
69#4#the weiner , the bun , and the boob#brian tanen#wendey stanzler#4.50#october 30 , 2009
70#5#plus none#cara dipaolo#paul holahan#4.76#november 6 , 2009
71#6#backseat betty#tracy poust & jon kinnally#john putch#4.46#november 13 , 2009
72#7#level (7) with me#chris black#john fortenberry#3.39#november 27 , 2009
73#8#the bahamas triangle#sheila lawrence#victor neili , jr#4.23#december 4 , 2009
74#9#be - shure#gail lerner#david dworetzky#4.80#december 11 , 2009
75#10#the passion of the betty#david grubstick & chris black#sj clarkson#5.13#january 6 , 2010
76#11#back in her place#abraham higginbotham#richard heus#4.67#january 13 , 2010
77#12#blackout!#cara dipoulo#john putch#4.59#january 20 , 2010
78#13#chica and the man#gail lerner#victor nelli , jr#4.34#february 3 , 2010
79#14#smokin' hot#brian tanen#john scott#4.68#february 10 , 2010
80#15#fire and nice#erika johnson#john terlesky#4.10#march 10 , 2010
81#16#all the world 's a stage#abraham higginbotham & david grubstick#andy wolk#3.33#march 17 , 2010
82#17#million dollar smile#henry alonso myers & chris black#paul holahan#4.56#march 24 , 2010
83#18#london calling#david grubstick & sheila lawrence#mark worthington#4.01#march 31 , 2010
84#19#the past presents the future#jon kinnaly & tracy poust#paul holahan#4.03#april 7 , 2010
