year#team#co - drivers#class#laps#pos#class pos
1994#michel hommell#alain cudini eric hélary#gt1#230#dnf#dnf
1997#dams#franck lagorce éric bernard#gt1#149#dnf#dnf
1998#jb racing#vincenzo sospiri jérôme policand#lmp1#187#dnf#dnf
2000#racing organisation course#jordi gené jérôme policand#lmp675#72#dnf#dnf
2001#pescarolo sport#sébastien bourdais laurent rédon#lmp900#271#13th#4th
2002#pescarolo sport#sébastien bourdais franck lagorce#lmp900#343#10th#9th
2003#pescarolo sport#stéphane sarrazin franck lagorce#lmp900#356#8th#6th
2005#pescarolo sport#emmanuel collard érik comas#lmp1#368#2nd#2nd
2007#pescarolo sport#emmanuel collard romain dumas#lmp1#358#3rd#3rd
2008#pescarolo sport#emmanuel collard romain dumas#lmp1#238#dnf#dnf
2009#pescarolo sport#simon pagenaud benoît tréluyer#lmp1#210#dnf#dnf
2010#rebellion racing#andrea belicchi guy smith#lmp1#143#dnf#dnf
2011#rebellion racing#andrea belicchi guy smith#lmp1#190#dnf#dnf
