year#player#position#college / country#wnba team
1997#tina thompson#forward#usc#houston comets
1998#margo dydek#center#poland#utah starzz
1999#chamique holdsclaw#forward#tennessee#washington mystics
2000#ann wauters#center#belgium#cleveland rockers
2001#lauren jackson#center#australia#seattle storm
2002#sue bird#guard#connecticut#seattle storm
2003#latoya thomas#forward#mississippi state#cleveland rockers
2004#diana taurasi#forward#connecticut#phoenix mercury
2005#janel mccarville#center#minnesota#charlotte sting
2006#seimone augustus#forward#lsu#minnesota lynx
2007#lindsey harding#guard#duke#phoenix mercury (traded to minn )
2008#candace parker#forward#tennessee#los angeles sparks
2009#angel mccoughtry#forward#louisville#atlanta dream
2010#tina charles#center#connecticut#connecticut sun
2011#maya moore#forward#connecticut#minnesota lynx
2012#nneka ogwumike#forward#stanford#los angeles sparks
2013#brittney griner#center#baylor#phoenix mercury
