res#record#opponent#method#event#round#time#location
win#22 - 5#jorge santiago#decision (unanimous)#wsof 4#3#5:00#ontario , california , united states
loss#21 - 5#josh burkman#decision (unanimous)#wsof 1#3#5:00#las vegas , nevada , united states
win#21 - 4#mike bronzoulis#decision (split)#legacy fighting 11#3#5:00#houston , texas , united states
win#20 - 4#eric davila#decision (unanimous)#legacy fighting 10#3#5:00#houston , texas , united states
win#19 - 4#kazuhiro nakamura#decision (split)#dream 17#3#5:00#saitama , japan
win#18 - 4#anthony ruiz#decision (unanimous)#tachi palace fights 9#3#5:00#lemoore , california , united states
loss#17 - 4#james head#decision (unanimous)#xtreme fight night 2: harris vs head#3#5:00#tulsa , oklahoma , united states
loss#17 - 3#maiquel falcão#decision (unanimous)#ufc 123#3#5:00#auburn hills , michigan , united states
win#17 - 2#david branch#ko (slam)#ufc 116#3#2:35#las vegas , nevada , united states
win#16 - 2#mario miranda#tko (punches)#ufc fight night : florian vs gomi#1#4:49#charlotte , north carolina , united states
win#15 - 2#john salter#tko (punches)#ufc fight night : maynard vs diaz#3#3:24#fairfax , virginia , united states
win#14 - 2#nissen osterneck#ko (punch)#shark fights 6#1#0:46#amarillo , texas , united states
win#13 - 2#david knight#ko (punches)#slammin jammin weekend 2#1#1:38#red rock , oklahoma , united states
win#12 - 2#travis doerge#submission (guillotine choke)#c3 fights : knockout rockout weekend#1#2:32#clinton , oklahoma , united states
win#11 - 2#jay ford#submission (punches)#freestyle cage fighting 25#1#3:43#tulsa , oklahoma , united states
win#10 - 2#mitch whitesel#decision (unanimous)#c3 fights : showdown 2#3#5:00#cherokee , north carolina , united states
win#9 - 2#brandon mcdowell#submission (punches)#c3 fights : battle on the border 2#1#1:21#newkirk , oklahoma , united states
win#8 - 2#jeremija sanders#tko (punches)#ftp : global showdown#1#0:30#thackerville , oklahoma , united states
loss#7 - 2#benji radach#tko (punches)#ifl : 2007 semifinals#1#3:03#east rutherford , new jersey , united states
loss#7 - 1#fabio leopoldo#decision (split)#ifl : connecticut#3#4:00#uncasville , connecticut , united states
win#7 - 0#curtis stout#ko (slam and punches)#tfc 7: red rumble#1#4:57#kansas city , kansas , united states
win#6 - 0#travis fowler#decision (unanimous)#freestyle cage fighting 9#3#5:00#ponca city , oklahoma , united states
win#5 - 0#harvell hunter#ko (punches)#freestyle cage fighting 8#1#n / a#ponca city , oklahoma , united states
win#4 - 0#bubba mcdaniel#submission (injury)#freestyle cage fighting 6#2#4:55#tulsa , oklahoma , united states
win#3 - 0#joe bunch#tko (punches)#fcf : brawl for it all#2#1:58#tulsa , oklahoma , united states
win#2 - 0#chester lauchner#submission (verbal)#fcf : brawl for it all#2#1:06#tulsa , oklahoma , united states
win#1 - 0#ryan lopez#submission (punches)#fcfp : friday night fights#2#0:49#oklahoma city , oklahoma , united states
