country#unit p koe / $05#2006#2007#2008#2009
world#koe / $05p#0 , 2#0 , 2#0 , 19#0 , 19
oecd#koe / $05p#0 , 15#0 , 15#0 , 15#0 , 15
europe#koe / $05p#0 , 13#0 , 13#0 , 12#0 , 12
eu - 27#koe / $05p#0 , 13#0 , 13#0 , 12#0 , 12
belgium#koe / $05p#0 , 17#0 , 16#0 , 16#0 , 15
spain#koe / $05p#0 , 12#0 , 11#0 , 11#0 , 11
finland#koe / $05p#0 , 22#0 , 21#0 , 2#0 , 2
france#koe / $05p#0 , 14#0 , 14#0 , 14#0 , 13
united kingdom#koe / $05p#0 , 11#0 , 1#0 , 1#0 , 1
italy#koe / $05p#0 , 11#0 , 1#0 , 11#0 , 1
netherlands#koe / $05p#0 , 13#0 , 13#0 , 13#0 , 13
norway#koe / $05p#0 , 13#0 , 12#0 , 12#0 , 12
poland#koe / $05p#0 , 18#0 , 17#0 , 16#0 , 15
portugal#koe / $05p#0 , 11#0 , 11#0 , 11#0 , 11
czech republic#koe / $05p#0 , 21#0 , 19#0 , 19#0 , 19
germany#koe / $05p#0 , 13#0 , 12#0 , 12#0 , 12
romania#koe / $05p#0 , 18#0 , 17#0 , 15#0 , 14
sweden#koe / $05p#0 , 17#0 , 16#0 , 16#0 , 15
turkey#koe / $05p#0 , 11#0 , 12#0 , 11#0 , 11
north america#koe / $05p#0 , 19#0 , 18#0 , 18#0 , 18
canada#koe / $05p#0 , 23#0 , 23#0 , 22#0 , 21
united states#koe / $05p#0 , 18#0 , 18#0 , 18#0 , 17
cis#koe / $05p#0 , 39#0 , 36#0 , 35#0 , 35
kazakhstan#koe / $05p#0 , 44#0 , 42#0 , 43#0 , 45
russia#koe / $05p#0 , 37#0 , 34#0 , 33#0 , 32
ukraine#koe / $05p#0 , 49#0 , 45#0 , 43#0 , 44
uzbekistan#koe / $05p#0 , 87#0 , 8#0 , 76#0 , 73
latin america#koe / $05p#0 , 14#0 , 14#0 , 14#0 , 14
mexico#koe / $05p#0 , 13#0 , 13#0 , 13#0 , 14
brazil#koe / $05p#0 , 14#0 , 14#0 , 13#0 , 13
argentina#koe / $05p#0 , 15#0 , 15#0 , 14#0 , 14
venezuela#koe / $05p#0 , 22#0 , 21#0 , 2#0 , 21
chile#koe / $05p#0 , 15#0 , 14#0 , 14#0 , 14
colombia#koe / $05p#0 , 09#0 , 08#0 , 08#0 , 09
asia#koe / $05p#0 , 23#0 , 22#0 , 22#0 , 22
china#koe / $05p#0 , 32#0 , 3#0 , 28#0 , 28
japan#koe / $05p#0 , 13#0 , 13#0 , 13#0 , 12
india#koe / $05p#0 , 21#0 , 2#0 , 2#0 , 2
south korea#koe / $05p#0 , 19#0 , 19#0 , 19#0 , 19
taiwan#koe / $05p#0 , 29#0 , 28#0 , 27#0 , 28
thailand#koe / $05p#0 , 23#0 , 22#0 , 22#0 , 23
indonesia#koe / $05p#0 , 24#0 , 24#0 , 24#0 , 24
malaysia#koe / $05p#0 , 21#0 , 22#0 , 21#0 , 22
australasia#koe / $05p#0 , 18#0 , 18#0 , 18#0 , 18
australia#koe / $05p#0 , 18#0 , 18#0 , 18#0 , 18
new zealand#koe / $05p#0 , 17#0 , 16#0 , 16#0 , 17
africa#koe / $05p#0 , 26#0 , 25#0 , 25#0 , 25
south africa#koe / $05p#0 , 31#0 , 31#0 , 31#0 , 31
nigeria#koe / $05p#0 , 4#0 , 39#0 , 38#0 , 36
egypt#koe / $05p#0 , 18#0 , 18#0 , 18#0 , 18
algeria#koe / $05p#0 , 14#0 , 15#0 , 15#0 , 16
middle - east#koe / $05p#0 , 26#0 , 26#0 , 26#0 , 26
saudi arabia#koe / $05p#0 , 29#0 , 29#0 , 3#0 , 32
iran#koe / $05p#0 , 25#0 , 25#0 , 25#0 , 24
united arab emirates#koe / $05p#0 , 21#0 , 22#0 , 24#0 , 25
kuwait#koe / $05p#0 , 21#0 , 21#0 , 21#0 , 24
