week#opponent#result#record#attendance
1#new orleans saints#l 17 - 24#0 - 1#56943
2#minnesota vikings#l 31 - 38#0 - 2#56234
3#buffalo bills#w 34 - 33#1 - 2#65199
4#arizona cardinals#l 17 - 20#1 - 3#55832
6#new york jets#w 30 - 10#2 - 3#55938
7#miami dolphins#l 0 - 14#2 - 4#65418
8#san francisco 49ers#l 10 - 28#2 - 5#58563
9#atlanta falcons#l 15 - 37#2 - 6#37996
10#chicago bears#w 20 - 12#3 - 6#50263
11#new orleans saints#l 3 - 24#3 - 7#46430
12#carolina panthers#l 20 - 24#3 - 8#50716
13#atlanta falcons#l 10 - 21#3 - 9#47971
14#philadelphia eagles#l 14 - 17#3 - 10#66155
15#new england patriots#w 32 - 18#4 - 10#48946
16#carolina panthers#l 13 - 20#4 - 11#50047
17#san francisco 49ers#l 19 - 38#4 - 12#68386
