week#opponent#date#tv network#time ( et )#stadium#location#results#record
1#cincinnati bengals#sunday , september 7 , 2008#cbs#1:00 pm#m & t bank stadium#baltimore , maryland#w 17 - 10#1 - 0
2#bye week#bye week#bye week#bye week#bye week#bye week#bye week#bye week
3#cleveland browns#sunday , september 21 , 2008#cbs#4:15 pm#m & t bank stadium#baltimore , maryland#w 28 - 10#2 - 0
4#pittsburgh steelers#monday , september 29 , 2008#espn#8:30 pm#heinz field#pittsburgh , pennsylvania#l 20 - 23 ot#2 - 1
5#tennessee titans#sunday , october 5 , 2008#cbs#1:00 pm#m & t bank stadium#baltimore , maryland#l 10 - 13#2 - 2
6#indianapolis colts#sunday , october 12 , 2008#cbs#1:00 pm#lucas oil stadium#indianapolis , indiana#l 3 - 31#2 - 3
7#miami dolphins#sunday , october 19 , 2008#cbs#1:00 pm#dolphin stadium#miami , florida#w 27 - 13#3 - 3
8#oakland raiders#sunday , october 26 , 2008#cbs#1:00 pm#m & t bank stadium#baltimore , maryland#w 29 - 10#4 - 3
9#cleveland browns#sunday , november 2 , 2008#cbs#1:00 pm#cleveland browns stadium#cleveland , ohio#w 37 - 27#5 - 3
10#houston texans#sunday , november 9 , 2008#cbs#1:00 pm#reliant stadium#houston , texas#w 41 - 13#6 - 3
11#new york giants#sunday , november 16 , 2008#cbs#1:00 pm#giants stadium#east rutherford , new jersey#l 10 - 30#6 - 4
12#philadelphia eagles#sunday , november 23 , 2008#fox#1:00 pm#m & t bank stadium#baltimore , maryland#w 36 - 7#7 - 4
13#cincinnati bengals#sunday , november 30 , 2008#cbs#1:00 pm#paul brown stadium#cincinnati , ohio#w 34 - 3#8 - 4
14#washington redskins#sunday , december 7 , 2008#nbc#8:15 pm#m & t bank stadium#baltimore , maryland#w 24 - 10#9 - 4
15#pittsburgh steelers#sunday , december 14 , 2008#cbs#4:15 pm#m & t bank stadium#baltimore , maryland#l 9 - 13#9 - 5
16#dallas cowboys#saturday , december 20 , 2008#nfl network#8:00 pm#texas stadium#irving , texas#w 33 - 24#10 - 5
17#jacksonville jaguars#sunday , december 28 , 2008#cbs#4:15 pm#m & t bank stadium#baltimore , maryland#w 27 - 7#11 - 5
