rank#name#nation#points#places
1#sjoukje dijkstra#netherlands#2018.5#9
2#regine heitzer#austria#1945.5#22
3#petra burka#canada#1940.0#25
4#nicole hassler#france#1887.7#38
5#miwa fukuhara#japan#1845.1#50
6#peggy fleming#united states#1819.6#59
7#christine haigler#united states#1803.8#74
8#albertina noyes#united states#1798.9#73
9#helli sengtschmid#austria#1782.1#85
10#wendy griner#canada#1775.3#91
11#sally - anne stapleford#great britain#1757.9#108
12#shirra kenworthy#canada#1756.3#104
13#kumiko okawa#japan#1725.4#136
14#inge paul#germany#1720.3#139
15#hana mašková#czechoslovakia#1714.8#142
16#carol - ann warner#great britain#1692.9#162
17#zsuzsa almássy#hungary#1702.2#159
18#diana clifton - peach#great britain#1711.7#152
19#gabriele seyfert#germany#1685.1#177
20#ingrid ostler#austria#1684.8#171
21#ann margret frei - käck#sweden#1661.1#191
22#junko ueno#japan#1685.0#170
23#franziska schmidt#germany#1662.8#193
24#uschi keszler#germany#1642.3#213
25#jana mrázková#czechoslovakia#1646.4#205
26#sandra brugnera#italy#1612.5#221
27#monika zingg#switzerland#1568.9#248
28#anne karin dehle#norway#1571.9#248
29#genevieve burdel#france#1542.0#255
30#berit unn johansen#norway#1524.9#265
