res#record#opponent#method#event#round#time#location
loss#7 - 8 - 1 (1)#zorobabel moreira#tko (knees to the body and punches)#one fighting championship : champion vs champion#2#1:59#kallang , singapore
nc#7 - 7 - 1 (1)#eddie rincon#no contest (accidental eye poke)#uic mma : wang vs rincon#3#1:00#hilo , hawaii , united states
draw#7 - 7 - 1#atsuhiro tsuboi#draw#art of war 14: ground zero#3#5:00#macau , china
win#7 - 7#josh ramage#tko (punches)#gladiator challenge : high impact#1#1:16#pauma valley , california , united states
win#6 - 7#shawn sherril#tko (punches)#gladiator challenge : venom#1#1:08#pauma valley , california , united states
loss#5 - 7#cole miller#tko (head kick and punches)#the ultimate fighter 5 finale#1#1:10#las vegas , nevada , united states
win#5 - 6#jamal perkins#decision (unanimous)#extreme wars 3: bay area brawl#3#5:00#oakland , california , united states
win#4 - 6#jimmy smith#decision (split)#total fighting alliance 2#n / a#n / a#carson , california , united states
loss#3 - 6#takafumi ito#decision (split)#pancrase : spiral 10#3#5:00#tokyo , japan
loss#3 - 5#eric heinz#decision (split)#wfc : fight club#3#3:00#loveland , colorado , united states
win#3 - 4#gabriel casillas#decision#xcf 2: havoc in havasu 1#3#3:00#lake havasu , arizona , united states
loss#2 - 4#deshaun johnson#decision (majority)#superbrawl 28#3#5:00#honolulu , hawaii , united states
loss#2 - 3#hiroshi tsuruya#decision (unanimous)#superbrawl 23#3#5:00#honolulu , hawaii , united states
win#2 - 2#jay r palmer#submission (rear - naked choke)#warriors quest 1: the new beginning#1#4:15#honolulu , hawaii , united states
loss#1 - 2#akihiro gono#decision (unanimous)#shooto : read 5#3#5:00#tokyo , japan
loss#1 - 1#jay martinez#decision (split)#superbrawl 16#2#5:00#honolulu , hawaii , united states
win#1 - 0#bob ostovich#decision (split)#superbrawl 16#2#5:00#honolulu , hawaii , united states
