source#dates administered#democrat : christine gregoire#republican : dino rossi#lead margin
survey usa#november 2 , 2008#52%#46%#6
survey usa#october 27 , 2008#50%#48%#2
rasmussen reports#october 22 , 2008#50%#48%#2
survey usa#october 13 , 2008#48%#47%#1
rasmussen reports#october 2 , 2008#48%#48%#0
survey usa#september 21 - 22 , 2008#50%#48%#2
strategic vision#september 14 - 16 , 2008#46%#48%#2
rasmussen reports#september 10 , 2008#46%#52%#6
elway poll#september 6 - 8 , 2008#48%#44%#4
survey usa#september 5 - 7 , 2008#47%#48%#1
survey usa#august 11 - 12 , 2008#50%#48%#2
rasmussen reports#august 6 , 2008#50%#46%#4
elway poll#july 27 - 31 , 2008#52%#36%#16
strategic vision#july 25 - 27 , 2008#47%#45%#2
survey usa#july 13 - 15 , 2008#49%#46%#3
moore information#july 9 - 10 , 2008#45%#45%#0
rasmussen reports#july 9 , 2008#52%#44%#6
elway poll#june 18 - 22 , 2008#47%#39%#8
rasmussen reports#june 9 , 2008#50%#43%#7
surveyusa#june 7 - 9 , 2008#50%#47%#3
rasmussen reports#may 12 , 2008#52%#41%#11
surveyusa#april 7 , 2008#48%#47%#1
rasmussen reports#april 2 , 2008#47%#46%#1
rasmussen reports#february 28 , 2008#46%#47%#1
university of washington#february 7 - 18 , 2008#53.7%#42.1%#11.6
strategic vision#october 5 - 7 , 2007#47%#45%#2
strategic vision#march 24 - 26 , 2006#38%#51%#12
