date#internet explorer#chrome#firefox#safari
desktop + laptop#mobile#total#desktop + laptop#total
july 2013#20.27%#36.29%#16.60%#4.27%
june 2013#21.35%#35.82%#16.79%#3.79%
may 2013#23.67%#35.66%#16.87%#3.67%
april 2013#25.58%#33.71%#17.27%#3.76%
march 2013#25.08%#32.88%#17.86%#3.90%
february 2013#25.54%#31.96%#18.28%#3.89%
january 2013#26.37%#31.51%#18.39%#3.64%
december 2012#26.30%#31.12%#18.71%#3.37%
november 2012#27.15%#31.05%#19.74%#3.01%
october 2012#28.13%#30.49%#19.57%#2.91%
september 2012#28.77%#30.01%#19.70%#2.79%
august 2012#28.98%#29.63%#20.16%#2.83%
july 2012#28.49%#30.06%#21.01%#2.77%
june 2012#28.95%#29.35%#22.00%#2.54%
may 2012#28.87%#29.15%#22.97%#2.31%
april 2012#30.81%#28.24%#22.49%#2.27%
march 2012#31.68%#28.09%#22.73%#2.15%
february 2012#32.70%#27.24%#22.76%#2.16%
january 2012#34.27%#25.99%#22.68%#1.92%
december 2011#35.54%#25.08%#23.24%#1.82%
november 2011#37.81%#23.90%#23.48%#1.67%
october 2011#37.55%#23.36%#24.66%#1.53%
september 2011#38.85%#22.02%#24.98%#1.42%
august 2011#38.91%#21.51%#25.53%#1.37%
july 2011#39.47%#20.59%#25.99%#1.40%
june 2011#40.73%#19.30%#26.49%#4.74%
