position#jersey#name#height (cm)#weight (kg)#birthdate#birthplace#19901991 team
g#35#pat jablonski#188#85#june 20 , 1967#toledo , ohio#st louis blues
g#1#mike richter#180#84#september 22 , 1966#abington , pennsylvania#new york rangers
g#34#john vanbiesbrouck#173#80#september 4 , 1963#detroit , michigan#new york rangers
d#26#chris chelios#185#86#january 25 , 1962#evergreen park , illinois#chicago blackhawks
d#4#kevin hatcher#193#102#september 9 , 1966#detroit , michigan#washington capitals
d#6#jim johnson#185#86#august 9 , 1962#new hope , minnesota#pittsburgh penguins
d#2#brian leetch#185#91#march 3 , 1968#corpus christi , texas#new york rangers
d#20#gary suter#183#93#june 24 , 1964#madison , wisconsin#calgary flames
d#38#eric weinrich#185#95#december 19 , 1966#roanoke , virginia#new jersey devils
d#39#craig wolanin#191#93#july 27 , 1967#grosse pointe , michigan#quebec nordiques
lw#21#tony granato#178#84#july 25 , 1964#hinsdale , illinois#los angeles kings
lw#33#randy wood#183#89#october 12 , 1963#princeton , new jersey#new york islanders
c#23#craig janney#185#89#september 26 , 1967#hartford , connecticut#boston bruins
c#16#pat lafontaine#178#83#february 22 , 1965#st louis , missouri#new york islanders
c#32#kevin miller#183#86#september 2 , 1965#lansing , michigan#new york rangers
c#9#mike modano#191#95#june , 7 1970#livonia , michigan#dallas stars
c#12#ed olczyk#185#89#august , 16 1966#chicago , illinois#winnipeg jets
c#29#joel otto#193#100#october 29 , 1961#elk river , minnesota#calgary flames
c#17#jeremy roenick#183#93#january 17 , 1970#boston , massachusetts#chicago blackhawks
rw#24#doug brown#178#84#june 12 , 1964#southborough , massachusetts#new jersey devils
rw#27#dave christian#180#77#may , 12 1959#warroad , minnesota#boston bruins
rw#15#brett hull#178#92#august 9 , 1964#belleville , ontario , canada#st louis blues
rw#7#joe mullen#178#83#february 26 , 1957#new york#pittsburgh penguins
