region#location#from#depots (12.09)#routes (12.09)#vehicles (12.09)
altai krai#barnaul#19 oct 1973#1#5#57
altai krai#rubtsovsk#28 dec 1973#1#2#49
zabaykalsky krai#chita#30 dec 1970#1#5#77
irkutsk obl#irkutsk#6 nov 1970#1#5#40
irkutsk obl#bratsk#1 feb 1975#1#5#50
kemerovo obl#kemerovo#25 sep 1970#1#10#88
kemerovo obl#leninsk - kuznetsky#11 jan 1984#1#3#31
kemerovo obl#novokuznetsk#1 jan 1978#1#4#53
krasnoyarsk krai#krasnoyarsk#5 nov 1959#2#8#140
novosibirsk obl#novosibirsk#11 nov 1957#4#14#322
omsk obl#omsk#5 nov 1955#2#10#216
tomsk obl#tomsk#7 nov 1967#1#8#93
khakassia#abakan#31 dec 1980#1#12#24
