res#record#opponent#method#event#round#time#location
loss#21 - 8 - 1 (2)#gleison tibau#decision (split)#ufc 164#3#5:00#milwaukee , wisconsin , united states
win#21 - 7 - 1 (2)#melvin guillard#decision (split)#ufc 155#3#5:00#las vegas , nevada , united states
loss#20 - 7 - 1 (2)#joe lauzon#submission (triangle choke)#ufc on fox : shogun vs vera#3#2:44#los angeles , california , united states
win#20 - 6 - 1 (2)#edson barboza#tko (punches)#ufc 146#1#3:23#las vegas , nevada , united states
win#19 - 6 - 1 (2)#drew fickett#submission (punches)#xfc 16#1#0:40#knoxville , tennessee , united states
win#18 - 6 - 1 (2)#nate jolly#ko (punches)#xfc 14#1#1:09#orlando , florida , united states
loss#17 - 6 - 1 (2)#dakota cochrane#decision (unanimous)#titan fighting championships 20#3#5:00#kansas city , kansas , united states
win#17 - 5 - 1 (2)#tyler combs#submission (north - south choke)#xfo 39#1#1:30#hoffman estates , illinois , united states
loss#16 - 5 - 1 (2)#shane roller#submission (rear naked choke)#wec 53#1#3:55#glendale , arizona , united states
loss#16 - 4 - 1 (2)#donald cerrone#decision (unanimous)#wec 51#3#5:00#broomfield , colorado , united states
draw#16 - 3 - 1 (2)#kamal shalorus#draw (split)#wec 49#3#5:00#edmonton , alberta , canada
loss#16 - 3 (2)#benson henderson#submission (guillotine choke)#wec 46#3#2:41#sacramento , california , united states
win#16 - 2 (2)#donald cerrone#technical decision (split)#wec 38#5#3:10#san diego , california , united states
win#15 - 2 (2)#marcus hicks#tko (punches)#wec 35#1#2:08#las vegas , nevada , united states
win#14 - 2 (2)#rob mccullough#tko (punches)#wec 32#3#2:54#albuquerque , new mexico , united states
win#13 - 2 (2)#sherron leggett#tko (punches & elbows)#wec 29#1#4:08#las vegas , nevada , united states
win#12 - 2 (2)#jason gilliam#technical submission (rear naked choke)#ufc 68#1#1:34#columbus , ohio , united states
loss#11 - 2 (2)#hermes franã§a#submission (armbar)#ufc 62#3#3:31#las vegas , nevada , united states
win#11 - 1 (2)#leonard wilson#submission (rear naked choke)#rage in the cage 78#2#1:07#glendale , arizona , united states
nc#10 - 1 (2)#tony llamas#no contest#kotc : arizona#n / a#n / a#globe , arizona , united states
win#10 - 1 (1)#paul arroyo#submission (punches)#rage in the cage 71#1#2:03#tempe , arizona , united states
win#9 - 1 (1)#adam roland#tko (punches)#rage in the cage 70#1#2:46#glendale , arizona , united states
win#8 - 1 (1)#jesse bongfeldt#tko (punches)#wff 7: professional shooto#1#4:12#vancouver , british columbia , canada
win#7 - 1 (1)#kyle bradley#submission (rear naked choke)#fight factory#2#2:34#n / a
win#6 - 1 (1)#kyle sprouse#submission (choke)#ritc 63: it 's time#1#1:47#phoenix , arizona , united states
win#5 - 1 (1)#garett davis#submission (triangle choke)#world freestyle fighting 6#1#3:52#vancouver , british columbia , canada
nc#4 - 1 (1)#james upshur#no contest#ritc 61: relentless#2#n / a#phoenix , arizona , united states
win#4 - 1#jarvis brennaman#submission (triangle choke)#ecs : evolution#1#1:22#phoenix , arizona , united states
win#3 - 1#dave klein#submission (choke)#ritc 50: the prelude#3#1:56#tucson , arizona , united states
win#2 - 1#justin nauling#submission (armbar)#ritc 49: stare down#2#0:38#phoenix , arizona , united states
loss#1 - 1#jesse moreng#decision (unanimous)#ritc 47: unstoppable#3#3:00#phoenix , arizona , united states
win#1 - 0#carlos ortega#decision (unanimous)#ritc 46: launching pad#3#3:00#tempe , arizona , united states
