place#player#country#score#to par
1#craig wood#united states#69 + 72 + 68 = 209#- 7
2#olin dutra#united states#70 + 70 + 70 = 210#- 6
3#henry picard#united states#67 + 68 + 76 = 211#- 5
4#gene sarazen#united states#68 + 71 + 73 = 212#- 4
t5#denny shute#united states#73 + 71 + 70 = 214#- 2
t5#walter hagen#united states#73 + 69 + 72 = 214#- 2
7#ray mangrum#united states#68 + 71 + 76 = 215#- 1
8#lawson little (a)#united states#74 + 72 + 70 = 216#e
t9#byron nelson#united states#71 + 74 + 72 = 217#+ 1
t9#vic ghezzi#united states#73 + 71 + 73 = 217#+ 1
t9#johnny revolta#united states#70 + 74 + 73 = 217#+ 1
t9#paul runyan#united states#70 + 72 + 75 = 217#+ 1
t9#jimmy hines#united states#70 + 70 + 77 = 217#+ 1
