season#the mole#winner#runner - up#international destination
1999 / 2000#deborah#petra (37.437 , - )#robin#australia
2001#nico#sigrid (31.765 , - )#yvonne#scotland
2002#george#john (42.300 , - )#jantien#portugal
2003#elise#ron (35.550 , - )#chandrika#canada
2005#yvon#marc - marie (23.000 , - )#lottie#australia , indonesia ( bali )
2006#milouska#frédérique (24.475 , - )#roderick#argentina
2007#inge#paul (17.300 , - )#renate , eva#thailand
2008#dennis#edo (20.375 , - )#regina#mexico
2008 junior edition#amin#naomi#lara#netherlands ( zwolle )
2009#jon#viviënne (22.650 , - )#anniek#northern ireland jordan
2010#kim#frits (21.950 , - )#sanne#japan
2011#patrick#art (19.540 , - )#soundos#el salvador nicaragua
2012#anne - marie#hadewych (12.601 , - )#liesbeth#iceland spain ( andalusia )
2013#kees#paulien (17.120 , - )#carolien#south africa
