elector#nationality#cardinalatial order and title#elevated#elevator
ordonho alvares#portuguese#cardinal - bishop of frascati#1278 , march 12#nicholas iii
latino malabranca orsini , op#rome#cardinal - bishop of ostia e velletri#1278 , march 12#nicholas iii
bentivenga da bentivengi , ofm#acquasparta#cardinal - bishop of albano#1278 , march 12#nicholas iii
anchero pantalãone#french#cardinal - priest of s prassede#1262 , may 22#urban iv
simon de brion#french#cardinal - priest of s cecilia#1261 , december 17#urban iv
guillaume de bray#french#cardinal - priest of s marco#1262 , may 22#urban iv
gerardo bianchi#parma#cardinal - priest of ss xii apostoli#1278 , march 12#nicholas iii
girolamo masci , ofm#lisciano#cardinal - priest of s pudenziana#1278 , march 12#nicholas iii
giacomo savelli#rome#cardinal - deacon of s maria in cosmedin#1261 , december 17#urban iv
goffredo da alatri#alatri#cardinal - deacon of s giorgio in velabro#1261 , december 17#urban iv
matteo orsini#rome#cardinal - deacon of s maria in portico#1262 , may 22#urban iv
giordano orsini#rome#cardinal - deacon of s eustachio#1278 , march 12#nicholas iii
giacomo colonna#rome#cardinal - deacon of s maria in via lata#1278 , march 12#nicholas iii
