episode#date aired#timeslot#rating#nightly rank#weekly rank
1.01#2 september 2010#thursday 8:30 pm#1168000#4#25
1.02#9 september 2010#thursday 8:30 pm#925000#11#46
1.03#16 september 2010#thursday 8:30 pm#763000#14#67
1.04#23 september 2010#thursday 8:30 pm#529000 (did not air in melbourne)#22#n / a
1.05#30 september 2010#thursday 8:30 pm#715000#17#74
1.06#7 october 2010#thursday 8:30 pm#670000#14#65
1.07#14 october 2010#thursday 8:30 pm#681000#13#62
1.08#21 october 2010#thursday 9:30 pm#487000#23#n / a
1.09#28 october 2010#thursday 9:30 pm#560000#21#99
1.10#4 november 2010#thursday 9:30 pm#595000#20#90
1.11#4 november 2010#thursday 10:30 pm#410000#31#n / a
1.12#11 november 2010#thursday 9:30 pm#574000#22#93
1.13#11 november 2010#thursday 10:30 pm#440000#27#n / a
