player#height#position#year born#current club
pau gasol#2.13#center#1980#memphis grizzlies
rudy fernández#1.96#guard#1985#dkv joventut
carlos cabezas#1.86#guard#1980#unicaja málaga
juan carlos navarro#1.92#guard#1980#memphis grizzlies
josé calderón#1.91#guard#1981#toronto raptors
felipe reyes#2.06#center#1980#real madrid
carlos jiménez#2.05#forward#1976#unicaja málaga
sergio rodríguez#1.91#guard#1986#portland trail blazers
berni rodríguez#1.97#guard#1980#unicaja málaga
marc gasol#2.16#center#1985#akasvayu girona
àlex mumbrú#2.02#forward#1979#real madrid
jorge garbajosa#2.06#forward#1977#toronto raptors
