year location#mens singles#womens singles#mens doubles#womens doubles
2012 doha#xu xin#chen meng#ma lin xu xin#li xiaodan wen jia
2011 doha#xu xin#liu shiwen#wang liqin xu xin#guo yue li xiaoxia
2010 doha#wang liqin#guo yue#ma lin wang hao#ding ning liu shiwen
2009 doha#timo boll#zhang yining#ma long xu xin#guo yue zhang yining
2008 doha#ma lin#zhang yining#chen qi ma lin#guo yue zhang yining
2007 doha#ma lin#li xiaoxia#cho eon - rae lee jung - woo#li xiaoxia wang nan
2006 doha#wang liqin#zhang yining#wang hao wang liqin#wang nan zhang yining
2005 doha#wang liqin#zhang yining#kong linghui wang hao#guo yue niu jianfeng
2003 doha#vladimir samsonov#tamara boros#kalinikos kreanga jörg roßkopf#tatyana logatzkaya veronika pavlovich
2002 doha#jean - michel saive#wang nan#wang liqin yan sen#li jia niu jianfeng
2001 doha#zoran primorac#kim hyon - hui#chang yen - shu chiang peng - lung#kim moo - kyo ryu ji - hae
1999 doha#zoran primorac#jing tian - zorner#chang yen - shu chiang peng - lung#csilla bátorfi krisztina tóth
1998 doha#zoran primorac#li ju#wang liqin yan sen#li ju wang nan
