date#city#opponent#results#type of game
april 6#marseille , france#france#1:1#euro '68 qualifying
april 24#belgrade#france#4:1#euro '68 qualifying
april 27#belgrade#czechoslovakia#0:3#friendly
june 5#florence , italy#england#1:0#euro '68 semi - finals
june 8#rome , italy#italy#1:1#euro '68 finals
june 10#rome , italy#italy#0:2#euro '68 finals (replay)
june 25#split#brazil#0:2#friendly
september 25#belgrade#finland#9:1#1970 wcq
october 16#bruxelles , belgium#belgium#0:3#1970 wcq
october 27#belgrade#spain#0:0#1970 wcq
december 17#rio de janeiro , brazil#brazil#3:3#friendly
december 19#belo horizonte , brazil#brazil#2:3#friendly
december 22#mar del plata , argentina#argentina#1:1#friendly
