stage#winner#general classification#points classification#trofeo fast team
p#stage cancelled#not awarded#not awarded#not awarded
1#bianchi - piaggio#tommy prim#not awarded#bianchi - piaggio
2#guido bontempi#urs freuler#guido bontempi#bianchi - piaggio
3#paolo rosola#paolo rosola#paolo rosola#bianchi - piaggio
4#giuseppe saronni#paolo rosola#paolo rosola#bianchi - piaggio
5#eduardo chozas#silvano contini#giuseppe saronni#bianchi - piaggio
6#alberto fernández#silvano contini#giuseppe saronni#metauro mobili - pinarello
7#moreno argentin#giuseppe saronni#giuseppe saronni#metauro mobili - pinarello
8#guido bontempi#giuseppe saronni#giuseppe saronni#metauro mobili - pinarello
9#riccardo magrini#giuseppe saronni#giuseppe saronni#metauro mobili - pinarello
10#palmiro masciarelli#giuseppe saronni#giuseppe saronni#metauro mobili - pinarello
11#lucien van impe#giuseppe saronni#giuseppe saronni#metauro mobili - pinarello
12#alf segersäll#giuseppe saronni#giuseppe saronni#metauro mobili - pinarello
13#giuseppe saronni#giuseppe saronni#giuseppe saronni#metauro mobili - pinarello
14#gregor braun#giuseppe saronni#giuseppe saronni#metauro mobili - pinarello
15#paolo rosola#giuseppe saronni#giuseppe saronni#metauro mobili - pinarello
16a#frank hoste#giuseppe saronni#giuseppe saronni#metauro mobili - pinarello
16b#giuseppe saronni#giuseppe saronni#giuseppe saronni#metauro mobili - pinarello
17#alberto fernández#giuseppe saronni#giuseppe saronni#zor - gemeaz cusin
18#paolo rosola#giuseppe saronni#giuseppe saronni#zor - gemeaz cusin
19#mario beccia#giuseppe saronni#giuseppe saronni#zor - gemeaz cusin
20#alessandro paganessi#giuseppe saronni#giuseppe saronni#zor - gemeaz cusin
21#moreno argentin#giuseppe saronni#giuseppe saronni#zor - gemeaz cusin
22#roberto visentini#giuseppe saronni#giuseppe saronni#zor - gemeaz cusin
final#final#giuseppe saronni#giuseppe saronni#zor - gemeaz cusin
