week#date#opponent#result#attendance
1#september 9 , 1968#kansas city chiefs#l 26 - 21#45083
2#september 14 , 1968#miami dolphins#w 24 - 10#40067
3#september 21 , 1968#san diego chargers#l 30 - 14#46217
4#september 29 , 1968#oakland raiders#l 24 - 15#46098
5#october 6 , 1968#miami dolphins#l 24 - 7#36109
6#october 13 , 1968#boston patriots#w 16 - 0#32502
7#october 20 , 1968#new york jets#l 20 - 14#51710
8#october 27 , 1968#buffalo bills#w 30 - 7#34339
9#november 3 , 1968#cincinnati bengals#w 27 - 17#24012
10#november 10 , 1968#new york jets#l 26 - 7#60242
11#november 17 , 1968#denver broncos#w 38 - 17#36075
12#november 28 , 1968#kansas city chiefs#l 24 - 10#48493
13#december 7 , 1968#buffalo bills#w 35 - 6#34110
14#december 15 , 1968#boston patriots#w 45 - 17#34198
