name#pos#height#weight#date of birth#club
galina rytova#gk#9in#-#1975 - 09 - 10#rari nantes augusta
anna zubkova#d#7in#-#1980 - 02 - 03#uralochka zlatoust
tatyana gubina#cb#10in#-#1977 - 12 - 15#eurasia rakhat
svetlana khapsalis#gk#1in#-#1973 - 06 - 15#eurasia rakhat
svetlana koroleva#d#9in#-#1973 - 09 - 07#eurasia rakhat
natalya krassilnikova#cb#8in#-#1982 - 01 - 02#eurasia rakhat
alyona klimenko#d#5in#-#1982 - 09 - 19#eurasia rakhat
yekaterina gariyeva#cf#9in#-#1981 - 06 - 11#eurasia rakhat
assel jakayeva#cf#6in#-#1980 - 03 - 14#kinef kirishi
marina gritsenko#d#8in#-#1980 - 08 - 17#eurasia rakhat
larissa mikhailova#d#7in#-#1981 - 07 - 13#uralochka zlatoust
natalya ignatyeva#d#6in#-#1978 - 08 - 17#eurasia rakhat
irina tolkunova#d#7in#-#1971 - 06 - 02#volturno sc
