year#1st place team#2nd place team#3rd place team#4th place team#host location
1947#farm fresh market , phoenix , az#palomar foods , san diego , ca#andrews motors , rome , ga#anderson sporting goods , oklahoma city , ok#phoenix , az
1948#merchants , taft , ca#clark - smith autos , phoenix , az#bluebonnet laundry , lubbock , tx#wheeler realty , greeley , co#oklahoma city , ok
1949#hanford kings , hanford , ca#roundup bar , somerton , az#merchants , taft , ca#grever truck lines , tulsa , ok#greeley , co
1950#hoak packers , fresno , ca#hanford kings , hanford , ca#grever truck lines , tulsa , ok#wells motors , greeley , co#greeley , co
1951#softball club , calvert , tx#fike plumbers , phoenix , az#hanford kings , hanford , ca#colonials , springfield , mo#phoenix , az
1952#mary star all - stars , san pedro , ca#softball club , calvert , tx#wheeler general tires , salt lake city , ut#shawver bros , phoenix , az#phoenix , az
1953#mary star all - stars , san pedro , ca#fike plumbers , phoenix , az#softball club , calvert , tx#b&b freight , tulsa , ok#salt lake city , ut
1954#mary star all - stars , san pedro , ca#fike plumbers , phoenix , az#berry - carter plumbers , tulsa , ok#mcginnis equipment , phoenix , az#phoenix , az
1955#sapulpa brick & tile , sapulpa , ok#mary star all - stars , san pedro , ca#all - stars , ralls , tx#berry - carter plumbers , tulsa , ok#tulsa , ok
1956#mary star all - stars , san pedro , ca#sapulpa brick & tile , sapulpa , ok#elks , oxnard , ca#berry - carter plumbers , tulsa , ok#tulsa , ok
1957#mary star all - stars , san pedro , ca#sapulpa brick & tile , sapulpa , ok#elks , oxnard , ca#frank phillips men™s club , phillips , tx#el paso , tx
