date#venue#score#result#competition
13 october 2007#štadión zimný , dubnica , slovakia#1 - 0#7 - 0#uefa euro 2008 qualifying
21 november 2007#stadio olimpico , serravalle , san marino#3 - 0#5 - 0#uefa euro 2008 qualifying
6 september 2008#tehelné pole , bratislava , slovakia#2 - 0#2 - 1#2010 fifa world cup qualification
19 november 2008#stadium pod dubňom , žilina , slovakia#1 - 0#4 - 0#friendly match
19 november 2008#stadium pod dubňom , žilina , slovakia#2 - 0#4 - 0#friendly match
10 february 2009#tsirion stadium , limassol , cyprus#2 - 0#2 - 3#friendly match
5 september 2009#tehelné pole , bratislava , slovakia#2 - 1#2 - 2#2010 fifa world cup qualification
14 november 2009#tehelné pole , bratislava , slovakia#1 - 0#1 - 0#friendly match
15 august 2012#tre - for park , odense , denmark#2 - 1#3 - 1#friendly match
12 october 2012#štadión pasienky , bratislava , slovakia#1 - 0#2 - 1#2014 fifa world cup qualification
10 september 2013#štadión pod dubňom , žilina , slovakia#1 - 0#1 - 2#2014 fifa world cup qualification
