game#date#team#score#high points#high rebounds#high assists#location attendance#record
15#december 1#grizzlies#80 - 109#mccants (18)#walker (9)#telfair (6)#fedexforum 12896#2 - 13
16#december 4#lakers#95 - 116#telfair (16)#jefferson (12)#three - way tie (3)#target center 17513#2 - 14
17#december 6#hawks#89 - 90#smith (25)#brewer (10)#jaric (10)#philips arena 12232#2 - 15
18#december 8#suns#100 - 93#jefferson (32)#jefferson (20)#telfair (6)#target center 19356#3 - 15
19#december 11#wizards#88 - 102#smith (36)#brewer (9)#telfair (10)#verizon center 12177#3 - 16
20#december 12#76ers#94 - 98#jefferson (22)#jefferson (11)#telfair (11)#wachovia center 10971#3 - 17
21#december 14#sonics#88 - 99#jefferson (22)#jefferson (16)#two - way tie (6)#target center 16523#3 - 18
22#december 15#bucks#92 - 95#smith (30)#jefferson (15)#telfair (8)#bradley center 15512#3 - 19
23#december 17#heat#87 - 91#jefferson (22)#jefferson (20)#telfair (6)#americanairlines arena 19600#3 - 20
24#december 19#warriors#98 - 111#jefferson (24)#jefferson (14)#telfair (8)#target center 13001#3 - 21
25#december 21#pacers#131 - 118#jefferson (29)#jefferson (13)#telfair (11)#target center 15379#4 - 21
26#december 22#hornets#76 - 110#gomes (20)#jefferson (13)#green (4)#new orleans arena 11257#4 - 22
27#december 26#warriors#101 - 105#jefferson (20)#jefferson (19)#jaric (5)#oracle arena 19596#4 - 23
28#december 28#blazers#98 - 109#jefferson (22)#two - way tie (7)#telfair (11)#rose garden 20491#4 - 24
29#december 29#sonics#90 - 109#jefferson (17)#two - way tie (8)#telfair (6)#keyarena 14038#4 - 25
30#december 31#clippers#82 - 91#jefferson (22)#two - way tie (15)#telfair (7)#staples center 14404#4 - 26
