date#visitor#score#home#leading scorer#record
2 january 2008#bucks#103 - 98#heat#maurice williams (25)#12 - 19
4 january 2008#wizards#101 - 77#bucks#charlie villanueva (20)#12 - 20
6 january 2008#bucks#93 - 89#bobcats#charlie bell (27)#13 - 20
8 january 2008#bucks#87 - 83#sixers#two - way tie (21)#14 - 20
9 january 2008#heat#92 - 98#bucks#maurice williams (35)#15 - 20
11 january 2008#bucks#105 - 110#lakers#maurice williams (28)#15 - 21
12 january 2008#bucks#114 - 122#suns#andrew bogut (29)#15 - 22
14 january 2008#bucks#87 - 98#jazz#andrew bogut (23)#15 - 23
16 january 2008#hawks#80 - 87#bucks#andrew bogut (21)#16 - 23
19 january 2008#warriors#119 - 99#bucks#michael redd (24)#16 - 24
21 january 2008#bucks#92 - 106#hornets#michael redd (19)#16 - 25
22 january 2008#suns#114 - 105#bucks#michael redd (28)#16 - 26
24 january 2008#pacers#92 - 104#bucks#michael redd (37)#17 - 26
25 january 2008#bucks#75 - 106#raptors#two - way tie (12)#17 - 27
27 january 2008#wizards#102 - 105#bucks#maurice williams (25)#18 - 27
29 january 2008#bucks#80 - 87#nets#royal ivey (19)#18 - 28
30 january 2008#bucks#69 - 112#sixers#royal ivey (17)#18 - 29
