name#height#weight#class#position#hometown
keith fitzhugh#5'11#206lbs#jr#s#hampton , georgia
robert elliot#6'#192lbs#fr#rb#okolona , mississippi
derek pegues#5'10#196lbs#jr#s#batesville , mississippi
tony burks#6'4#217lbs#sr#wr#gulfport , mississippi
gabe o'neal#6'1#220lbs#sr#lb#columbus , mississippi
demario bobo#6'#180lbs#jr#s#courtland , mississippi
michael henig#6'1#195lbs#jr#qb#montgomery , alabama
de'mon glanton#6'1#190lbs#jr#s#atlanta , georgia
keon humphries#5'10#180lbs#jr#cb#montgomery , alabama
dominic douglas#6'2#227lbs#jr#lb#clinton , mississippi
anthony johnson#5'10#194lbs#so#cb#jackson , mississippi
wesley carroll#6'1#190lbs#fr#qb#ft. lauderdale , florida
chris relf#6'3#211lbs#fr#qb#montgomery , alabama
co - eric riley#6'1#200lbs#jr#wr#lucedale , mississippi
zack harrington#6'#185lbs#so#qb#hattiesburg , mississippi
josh riddell#6'1#195lbs#jr#qb#salem , oregon
marcus washington#5'10#180lbs#so#cb#missouri city , texas
anthony summers#6'2#188lbs#so#s#olive branch , mississippi
wade bonner#5'10#180lbs#fr#cb#mason , tennessee
jamar chaney#6'1#236lbs#jr#lb#ft. pierce , florida
jasper o'quinn#5'10#185lbs#jr#cb#bude , mississippi
anthony dixon#6'1#240lbs#so#rb#jackson , mississippi
tyler threadgill#5'10#190lbs#sr#wr#philadelphia , mississippi
damein anderson#5'11#175lbs#fr#cb#hazlehurst , mississippi
jarvis williams#5'11#170lbs#so#cb#jackson , mississippi
jarvis kyles#6'#185lbs#so#cb#milledgeville , georgia
tay bowser#6'3#185lbs#so#cb#gilmer , texas
christian ducrã©#6'#222lbs#so#rb#mandeville , louisiana
arnil stallworth#5'10#200lbs#so#rb#daphne , alabama
jamie jones#6'#215lbs#fr#lb#springdale , arkansas
marcus green#6'2#230lbs#fr#rb#scooba , mississippi
justin williams#5'10#207lbs#sr#rb#tallulah , louisiana
k.j. wright#6'3#215lbs#fr#lb#olive branch , mississippi
brandon hart#5'11#240lbs#jr#fb#lagrange , georgia
jamon hughes#6'#230lbs#so#lb#rolling fork , mississippi
adam carlson#6'4#195lbs#jr#k#gulfport , mississippi
eric hoskins#5'11#230lbs#jr#fb#weir , mississippi
tim bailey#6'3#241lbs#jr#de#glen allan , mississippi
chris nance#5'10#182lbs#jr#cb#tuscumbia , alabama
brad moore#6'1#190lbs#rs fr#k#starkville , mississippi
eric richards#6'4#227lbs#fr#k#vicksburg , mississippi
zach smith#6'#180lbs#fr#s#altoona , alabama
blake mcadams#5'10#190lbs#jr#p#ripley , tennessee
emmanuel gatling#6'2#200lbs#rs fr#s#mcallen , texas
ethan stockett#6'1#255lbs#fr#fb#ft. smith , arkansas
ben shelton#5'11#196lbs#sr#wr#vicksburg , mississippi
aaron feld#6'1#225lbs#rs fr#ls#homewood , alabama
ryan mason#6'4#217lbs#jr#wr#mobile , alabama
dezmond sherrod#6'3#245lbs#sr#te#caledonia , mississippi
terrell johnson#6'2#210lbs#fr#lb#silas , alabama
taurus young#5'8#228lbs#jr#rb#kilmichael , mississippi
devon edwards#6'#217lbs#fr#lb#coffeeville , alabama
avery hannibal#6'1#240lbs#sr#de#lagrange , georgia
karlin brown#5'9#195lbs#fr#lb#tallahassee , florida
anthony strauder#6'3#290lbs#jr#og#natchez , mississippi
titus brown#6'3#250lbs#sr#de#tuscaloosa , alabama
quentin saulsberry#6'3#286lbs#fr#dt#coldwater , mississippi
anthony littlejohn#6'1#230lbs#jr#lb#jacksonville , florida
johnny carpenter#6'2#290lbs#so#c#citronelle , alabama
mark brown#5'11#225lbs#so#lb#madison , mississippi
j.d. hamilton#6'4#300lbs#sr#ot#natchez , mississippi
mark lynn#6'#210lbs#rs fr#lb#madison , mississippi
addison lawrence#6'4#265lbs#fr#ot#coldwater , mississippi
chris spencer#6'3#305lbs#so#og#meridian , mississippi
anthony bowles#5'11#220lbs#jr#ls#grenada , mississippi
d.j. looney#6'1#290lbs#fr#c#birmingham , alabama
roland terry#6'7#298lbs#jr#ot#meridian , mississippi
j.c. brignone#6'1#290lbs#rs fr#og#pass christian , mississippi
john mcmillan#6'2#285lbs#rs fr#og#paragould , arkansas
dakota merritt#6'5#302lbs#fr#ot#cantonment , florida
mark melichar#6'5#290lbs#rs fr#ot#birmingham , alabama
craig jenkins#6'4#315lbs#so#og#pearl , mississippi
royce blackledge#6'4#293lbs#sr#c#sandersville , mississippi
michael brown#6'5#300lbs#jr#ot#college park , georgia
michael gates#6'4#305lbs#jr#og#fairburn , georgia
derek sherrod#6'5#298lbs#fr#ot#caledonia , mississippi
alex carpenter#6'#182lbs#rs fr#wr#biggersville , mississippi
brandon mcrae#6'4#200lbs#so#wr#chester , virginia
jason husband#6'3#230lbs#sr#te#jackson , mississippi
austin wilbanks#6'3#245lbs#so#te#forest , mississippi
jeremy jones#6'2#275lbs#jr#fb#harvey , louisiana
brandon henderson#6'1#250lbs#rs fr#te#fayetteville , georgia
lance long#5'11#186lbs#sr#wr#macomb , michigan
aubrey bell#6'3#217lbs#jr#wr#prichard , alabama
eric butler#6'3#255lbs#sr#te#moss point , mississippi
jamayel smith#6'#183lbs#jr#wr#east point , georgia
cortez mccraney#6'4#272lbs#jr#dt#southaven , mississippi
rodney prince#6'3#252lbs#rs fr#de#irondale , alabama
charles burns#6'3#265lbs#jr#de#hattiesburg , mississippi
brandon cooper#6'3#240lbs#rs fr#de#missouri city , texas
jessie bowman#6'1#305lbs#jr#dt#brookhaven , mississippi
kyle love#6'1#312lbs#so#dt#fairburn , georgia
reggie odom#6'#295lbs#rs fr#dt#deland , florida
jimmie holmes#6'3#235lbs#jr#de#aiken , south carolina
lamarcus williams#6'1#290lbs#fr#dt#bastrop , louisiana
quinton wesley#6'4#315lbs#so#dt#atlanta , georgia
robert ambers#5'11#181lbs#so#qb#venice , california
andrew ellard#5'11#180lbs#so#wr#natchez , mississippi
robert gurley#6'2#190lbs#fr#s#dothan , alabama
josh hines#5'11#215lbs#fr#lb#rome , georgia
cole richardson#5'11#180lbs#fr#p#hattiesburg , mississippi
major sosebee#6'2#185lbs#so#wr#warrior , alabama
kevin valenti#5'10#188lbs#fr#cb#tampa , florida
davonne wilson#6'3#220lbs#rs fr#de#smyrna , georgia
spencer yates#6'3#250lbs#fr#og#brandon , mississippi
