place#player#nation#score#to par#money
1#jeong jang#south korea#68 + 66 + 69 + 69 = 272#16#280028
2#sophie gustafson#sweden#69 + 73 + 67 + 67 = 276#12#175130
t3#young kim#south korea#74 + 68 + 67 + 69 = 278#10#122591
t3#michelle wie (a)#united states#75 + 67 + 67 + 69 = 278#10#0
t5#cristie kerr#united states#73 + 66 + 69 + 71 = 279#9#81144
t5#liselotte neumann#sweden#71 + 70 + 68 + 70 = 279#9#81144
t5#annika sörenstam#sweden#73 + 69 + 66 + 71 = 279#9#81144
t8#natalie gulbis#united states#76 + 70 + 68 + 66 = 280#8#58669
t8#grace park#south korea#77 + 68 + 67 + 68 = 280#8#58669
t8#louise stahle (a)#sweden#73 + 65 + 73 + 69 = 280#8#0
