school year#volleyball#cross country#soccer#tennis#golf
2003 - 04#orrville#ashland#lexington#lexington#began in 2013
2004 - 05#orrville , madison , lexington , west holmes#ashland#ashland#lexington#n / a
2005 - 06#wooster#lexington#ashland#lexington#n / a
2006 - 07#wooster#ashland#ashland#lexington#n / a
2007 - 08#wooster#lexington#ashland#lexington#n / a
2008 - 09#madison#wooster#ashland#lexington#n / a
2009 - 10#lexington , madison , orrville#lexington#lexington , wooster#lexington#n / a
2010 - 11#madison#lexington#clear fork#lexington#n / a
2011 - 12#madison#lexington#wooster#lexington#n / a
2012 - 13#lexington#lexington#ashland#lexington#n / a
2013 - 14#madison , orrville#lexington#clear fork#lexington#ashland
